angles,types,morph_sfr,sep,spiral_angles,elliptical_angles,unknown_angles,ef_angles,sf_angles,eq_angles,sq_angles,uq_angles,uf_angles,uu_angles,ef_sep,sf_sep,eq_sep,sq_sep,uu_sep,q_sep,f_sep
162.82169851155544,e,eq,0.9724875849091418,,162.82169851155544,,,,162.82169851155544,,,,,,,0.9724875849091418,,,0.9724875849091418,
155.61567771072106,e,eq,0.8826991171609774,,155.61567771072106,,,,155.61567771072106,,,,,,,0.8826991171609774,,,0.8826991171609774,
167.3164445016667,e,ef,0.8941115433436113,,167.3164445016667,,167.3164445016667,,,,,,,0.8941115433436113,,,,,,0.8941115433436113
127.25142690626461,e,eq,0.6238919072612349,,127.25142690626461,,,,127.25142690626461,,,,,,,0.6238919072612349,,,0.6238919072612349,
145.82296196218624,e,eq,1.2116319934890767,,145.82296196218624,,,,145.82296196218624,,,,,,,1.2116319934890767,,,1.2116319934890767,
152.30544979022733,e,eq,0.8095874406325079,,152.30544979022733,,,,152.30544979022733,,,,,,,0.8095874406325079,,,0.8095874406325079,
156.69543419629508,u,uf,0.7391728402268134,,,156.69543419629508,,,,,,156.69543419629508,,,,,,,,0.7391728402268134
19.15497176390387,e,eq,0.409662071533248,,19.15497176390387,,,,19.15497176390387,,,,,,,0.409662071533248,,,0.409662071533248,
54.30494687451346,s,sq,0.5615013523065301,54.30494687451346,,,,,,54.30494687451346,,,,,,,0.5615013523065301,,0.5615013523065301,
118.6193812126779,e,eq,0.4341088547795606,,118.6193812126779,,,,118.6193812126779,,,,,,,0.4341088547795606,,,0.4341088547795606,
157.72178253338467,s,sq,0.00020938514259139212,157.72178253338467,,,,,,157.72178253338467,,,,,,,0.00020938514259139212,,0.00020938514259139212,
73.70500343873812,s,sf,0.9096431718085778,73.70500343873812,,,,73.70500343873812,,,,,,,0.9096431718085778,,,,,0.9096431718085778
113.0297341089254,e,eq,0.09254083011732836,,113.0297341089254,,,,113.0297341089254,,,,,,,0.09254083011732836,,,0.09254083011732836,
136.7807106994388,e,eq,1.1580752158178016,,136.7807106994388,,,,136.7807106994388,,,,,,,1.1580752158178016,,,1.1580752158178016,
150.69953979944742,e,eq,0.9896989700122472,,150.69953979944742,,,,150.69953979944742,,,,,,,0.9896989700122472,,,0.9896989700122472,
163.2723314981512,e,ef,1.1868565567463354,,163.2723314981512,,163.2723314981512,,,,,,,1.1868565567463354,,,,,,1.1868565567463354
121.96270486773639,e,eq,0.8776018244138563,,121.96270486773639,,,,121.96270486773639,,,,,,,0.8776018244138563,,,0.8776018244138563,
89.22037983277863,e,eq,0.7226183399537618,,89.22037983277863,,,,89.22037983277863,,,,,,,0.7226183399537618,,,0.7226183399537618,
90.08891480192057,s,sq,1.2385007909258114,90.08891480192057,,,,,,90.08891480192057,,,,,,,1.2385007909258114,,1.2385007909258114,
93.19049300735594,e,ef,0.9410335384741713,,93.19049300735594,,93.19049300735594,,,,,,,0.9410335384741713,,,,,,0.9410335384741713
149.92344667992472,s,sq,0.20600867483023952,149.92344667992472,,,,,,149.92344667992472,,,,,,,0.20600867483023952,,0.20600867483023952,
38.45032227948187,e,eq,0.19306186211993046,,38.45032227948187,,,,38.45032227948187,,,,,,,0.19306186211993046,,,0.19306186211993046,
42.74327935748158,e,eq,0.3892756127718425,,42.74327935748158,,,,42.74327935748158,,,,,,,0.3892756127718425,,,0.3892756127718425,
67.66583841853941,e,eq,0.7504588164889608,,67.66583841853941,,,,67.66583841853941,,,,,,,0.7504588164889608,,,0.7504588164889608,
48.14655490184117,e,eq,0.5533712847424843,,48.14655490184117,,,,48.14655490184117,,,,,,,0.5533712847424843,,,0.5533712847424843,
132.53945753093396,e,eq,1.1696058469895179,,132.53945753093396,,,,132.53945753093396,,,,,,,1.1696058469895179,,,1.1696058469895179,
99.4925638974604,s,sq,0.9814722627518453,99.4925638974604,,,,,,99.4925638974604,,,,,,,0.9814722627518453,,0.9814722627518453,
96.08205766476664,e,eq,0.8142570710456679,,96.08205766476664,,,,96.08205766476664,,,,,,,0.8142570710456679,,,0.8142570710456679,
42.629362420139614,e,eq,0.15338777202097362,,42.629362420139614,,,,42.629362420139614,,,,,,,0.15338777202097362,,,0.15338777202097362,
8.793446057532265,s,sq,1.2542088157789422,8.793446057532265,,,,,,8.793446057532265,,,,,,,1.2542088157789422,,1.2542088157789422,
28.100522728420458,e,eq,0.3409497467198896,,28.100522728420458,,,,28.100522728420458,,,,,,,0.3409497467198896,,,0.3409497467198896,
175.2312739945067,e,eq,0.36110848884600993,,175.2312739945067,,,,175.2312739945067,,,,,,,0.36110848884600993,,,0.36110848884600993,
125.0729830995216,s,sq,0.23792586557957496,125.0729830995216,,,,,,125.0729830995216,,,,,,,0.23792586557957496,,0.23792586557957496,
126.23445294500834,e,eq,0.03556799632874239,,126.23445294500834,,,,126.23445294500834,,,,,,,0.03556799632874239,,,0.03556799632874239,
32.642294643332605,e,eq,0.29032023035831855,,32.642294643332605,,,,32.642294643332605,,,,,,,0.29032023035831855,,,0.29032023035831855,
125.88011455184784,e,eq,0.7701325158901556,,125.88011455184784,,,,125.88011455184784,,,,,,,0.7701325158901556,,,0.7701325158901556,
143.82573450030327,e,eq,1.3481234116295333,,143.82573450030327,,,,143.82573450030327,,,,,,,1.3481234116295333,,,1.3481234116295333,
10.452113894053838,e,eq,0.18908456177887834,,10.452113894053838,,,,10.452113894053838,,,,,,,0.18908456177887834,,,0.18908456177887834,
