recno,ABELL,RAB1950,DEB1950,Field,Xcen,Ycen,Atype,BMtype,Count,u_Count,m1,u_m1,m3,u_m3,m10,u_m10,Prev,Xpos,Ypos,GLON,GLAT,z,u_z,Rich,Dclass,m10A,NF_1,Obs_1,NF_2,Obs_2,_RA_icrs,_DE_icrs
195,2474,340.09999999999997,-20.449999999999996,"F603",-62,-21,"I  ","I-II",108, ,16.1, ,16.8, ,18.0, ," ",226,143,39.29,-59.89,, ,2,6,17.3,1,O,, ,340.7752358333333,-20.187629444444443
196,2477,340.32499999999993,-17.38333333333333,"F603",-51,142,"I  ","II",72, ,17.3, ,17.5, ,18.4, ," ",215,306,45.03,-58.94,, ,1,6,17.3,1,O,, ,340.9943497222222,-17.12060722222222
197,2478,340.47499999999997,-17.999999999999996,"F603",-44,110,"R  ","I",64, ,16.1, ,17.8, ,18.4, ," ",208,274,44.05,-59.32,, ,1,6,17.3,1,O,, ,341.14521888888885,-17.737031944444443
198,2480,340.87499999999994,-17.966666666666665,"F603",-23,112,"RI ","II",108, ,15.0, ,16.0, ,16.8, ," ",187,276,44.41,-59.65,, ,2,5,17.0,1,O,, ,341.5445680555555,-17.703066666666665
199,2481,341.025,-21.916666666666664,"F603",-15,-100,"R  ","I",55,:,16.1, ,16.8, ,19.1, ," ",179,64,37.02,-61.18,, ,1,6,17.4,1,O,, ,341.70127499999995,-21.65282222222222
200,2488,341.67499999999995,-23.799999999999997,"F534",31,66,"IR ","III",68, ,17.4, ,18.3, ,19.1, ," ",133,230,33.53,-62.26,, ,1,6,17.4,1,O,, ,342.3533955555555,-23.535159166666663
201,2487,341.69999999999993,-21.249999999999996,"F603",19,-65,"I  ","II",61, ,17.3, ,18.0, ,19.1, ," ",145,99,38.74,-61.57,, ,1,6,17.4,1,O,, ,342.3738772222222,-20.985128333333332
202,2492,341.94999999999993,-19.499999999999996,"F603",32,29,"R  ","I",62, ,14.7, ,15.4, ,16.1, ," ",132,193,42.34,-61.19,, ,1,4,16.3,1,O,, ,342.6204927777777,-19.23476083333333
203,2493,342.025,-26.349999999999998,"F534",46,-71,"I  ","I-II",34, ,15.9, ,16.7, ,18.3, ," ",118,93,28.23,-63.08,, ,0,6,17.3,1,O,, ,342.7072486111111,-26.084632777777774
204,2497,342.12499999999994,-20.38333333333333,"F603",40,-18,"I  ","I-II",35, ,16.8, ,18.1, ,18.6, ," ",124,146,40.74,-61.65,, ,0,6,17.3,1,O,, ,342.79666805555553,-20.11783472222222
205,2499,342.54999999999995,-26.28333333333333,"F534",71,-68,"I  ","II",48, ,17.5, ,18.0, ,18.6, ," ",93,96,28.54,-63.54,, ,0,6,17.3,1,O,, ,343.2309311111111,-26.017205277777773
206,2500,342.69999999999993,-25.816666666666663,"F534",79,-43,"RI ","II",56, ,15.9, ,17.3, ,18.1, ," ",85,121,29.62,-63.59,, ,1,6,17.3,1,O,, ,343.3797722222222,-25.550326666666663
207,2509,343.79999999999995,-22.016666666666662,"F603",123,-107,"R  ","II",61,:,17.3, ,18.4,:,19.4, ," ",41,57,38.48,-63.66,0.2306, ,1,6,17.4,2,O,1,C,344.47128027777774,-21.748826666666663
208,2514,344.44999999999993,-23.516666666666662,"F535",-104,80,"I  ","III",31, ,17.5, ,19.1, ,19.3, ," ",268,244,35.55,-64.65,, ,0,6,17.4,2,O,, ,345.12230138888884,-23.247977777777773
209,2518,344.525,-24.399999999999995,"F535",-99,32,"I  ","II-III",43, ,16.3, ,16.9, ,18.0, ," ",263,196,33.58,-64.93,0.1351, ,0,6,17.3,1,O,, ,345.19848777777776,-24.131213888888887
210,2521,344.87499999999994,-22.299999999999997,"F604",-83,-123,"R  ","I-II",85, ,16.4, ,17.3, ,18.0, ," ",247,41,38.54,-64.7,0.1359, ,2,5,17.2,1,C,1,O,345.5446647222222,-22.03077972222222
211,2523,345.24999999999994,-17.45,"F604",-67,-42,"I: ","II-III",84, ,15.6, ,16.0, ,17.1, ," ",231,122,49.1,-63.21,, ,2,5,17.2,1,C,, ,345.9123219444444,-17.180331388888888
212,2526,345.42499999999995,-24.366666666666664,"F535",-55,34,"IR ","II",26, ,16.0, ,18.1, ,18.6, ," ",219,198,34.09,-65.72,, ,0,6,17.3,1,O,, ,346.09653249999997,-24.096772499999997
213,2527,345.67499999999995,-25.599999999999998,"F535",-42,-32,"I  ","I-II",-9, ,17.5, ,19.2, ,19.4, ," ",206,132,31.24,-66.19,, ,0,6,17.4,1,O,, ,346.34776027777775,-25.329807222222218
214,2528,345.72499999999997,-21.666666666666664,"F604",-41,-89,"R  ","II",72, ,15.3, ,16.1, ,17.2, ," ",205,75,40.54,-65.25,0.0955, ,1,5,17.2,1,C,, ,346.3921744444444,-21.396423888888886
215,2531,346.04999999999995,-21.949999999999996,"F604",-24,-104,"RI:","II:",60, ,17.5, ,17.5, ,18.6, ," ",188,60,40.12,-65.63,0.1741, ,1,6,17.3,1,C,1,O,346.7169441666666,-21.679380555555554
216,2534,346.24999999999994,-22.98333333333333,"F535",-14,108,"R? ","II?",126, ,16.0, ,17.7, ,18.9, ," ",178,272,37.84,-66.11,0.1976, ,2,6,17.4,1,O,1,C,346.9179263888888,-22.712484999999997
217,2536,346.275,-22.73333333333333,"F535",-13,122,"RI?","II-III?",58, ,17.3, ,17.9, ,18.7, ," ",177,286,38.45,-66.06,0.1971, ,1,6,17.3,1,O,1,C,346.9425461111111,-22.46245722222222
218,2538,346.47499999999997,-20.18333333333333,"F604",-4,-8,"R  ","II-III",83, ,14.9, ,15.3, ,15.9, ," ",168,156,44.46,-65.39,0.0817, ,2,4,16.1,1,C,, ,347.13889527777775,-19.912239166666662
219,2539,346.525,-21.799999999999997,"F604",-2,-95,"I  ","II-III",52, ,15.2, ,15.7, ,16.3, ," ",166,69,40.81,-66.0,0.1735, ,1,5,16.5,1,C,, ,347.1908530555555,-21.52884722222222
220,2540,346.69999999999993,-22.43333333333333,"F604",6,-131,"R  ","III",46, ,16.0, ,16.8, ,18.3, ," ",158,33,39.44,-66.35,0.1297, ,0,6,17.3,1,C,1,O,347.36632638888887,-22.1619875
221,2542,346.84999999999997,-24.766666666666662,"F535",15,13,"I  ","II-III",44, ,13.7,*,17.0, ,18.3, ," ",149,177,33.82,-67.08,0.1603, ,0,6,17.3,1,O,, ,347.5190222222222,-24.495153611111107
222,2541,346.92499999999995,-23.23333333333333,"F535",19,95,"RI ","I-II",76, ,15.3,*,16.7, ,17.5, ," ",145,259,37.66,-66.77,0.1018, ,1,5,17.2,1,O,, ,347.5918958333333,-22.961742777777776
223,2546,346.99999999999994,-22.93333333333333,"F535",23,111,"IR ","III?",62, ,16.8, ,16.9, ,17.9, ," ",141,275,38.44,-66.76,0.1119, ,1,5,17.2,1,O,1,C,347.6663675,-22.66166333333333
224,2547,347.04999999999995,-21.416666666666664,"F604",23,-75,"R: ","II-III",127, ,17.1, ,17.6, ,18.2, ," ",141,89,42.1,-66.33,0.1492, ,2,6,17.3,1,C,, ,347.7143955555555,-21.144946388888886
225,2548,347.15,-20.73333333333333,"F604",29,-39,"I  ","III",38, ,14.8, ,15.4, ,16.1, ," ",135,125,43.78,-66.18,0.1101, ,0,4,16.3,1,C,, ,347.8133861111111,-20.461508888888886
226,2550,347.22499999999997,-22.049999999999997,"F604",34,-108,"R  ","II-III",84,:,16.5, ,17.6,:,18.3, ," ",130,56,40.73,-66.69,0.1543, ,2,6,17.3,1,C,1,O,347.8898386111111,-21.778094166666662
227,2553,347.4,-25.23333333333333,"F535",43,-12,"R  ","I-II",83, ,17.5, ,18.1, ,18.7, ," ",121,152,32.9,-67.66,, ,2,6,17.3,1,O,, ,348.0684108333333,-24.96123944444444
228,2554,347.42499999999995,-21.816666666666663,"F604",42,-94,"RI:","I-II",100,:,15.7, ,16.3, ,17.2, ," ",122,70,41.44,-66.79,0.106, ,2,5,17.2,1,C,1,O,348.0891777777777,-21.544553888888885
229,2555,347.54999999999995,-22.48333333333333,"F604",48,-133,"RI ","I-II",63,:,16.0, ,17.1,:,17.8, ," ",116,31,39.92,-67.11,0.1385, ,1,5,17.2,1,C,1,O,348.21473222222215,-22.21109111111111
230,2557,347.59999999999997,-17.249999999999996,"F604",53,147,"R: ","II:",64, ,17.0, ,17.5, ,18.8, ," ",111,311,51.88,-65.11,, ,1,6,17.3,1,C,, ,348.25863166666664,-16.97771722222222
231,2556,347.62499999999994,-21.916666666666664,"F604",51,-102,"R  ","I",65, ,14.6,:,16.0, ,16.9, ," ",113,62,41.36,-67.0,0.0865, ,1,5,17.1,1,C,, ,348.28891749999997,-21.64434944444444
232,2565,348.275,-21.449999999999996,"F604",85,-77,"I  ","III",65, ,16.0, ,16.2, ,16.7, ," ",79,87,43.01,-67.42,0.1271, ,1,5,16.9,1,C,, ,348.93716388888885,-21.177042499999995
233,2566,348.4,-20.766666666666662,"F604",90,-39,"I  ","II",67, ,15.2,?,15.9, ,16.4, ," ",74,125,44.78,-67.28,0.0821, ,1,5,16.6,1,C,, ,349.0611877777777,-20.493591111111108
234,2568,348.62499999999994,-22.466666666666665,"F604",102,-133,"I  ","II-III",42, ,15.8, ,17.0,:,17.9, ," ",62,31,40.75,-68.05,0.1398, ,0,5,17.2,2,C,1,O,349.28761027777773,-22.193376666666662
235,2576,349.24999999999994,-22.749999999999996,"F535",135,120,"R  ","III",56, ,17.4, ,18.1, ,18.5, ," ",29,284,40.49,-68.69,, ,1,6,17.3,2,O,2,C,349.91167611111103,-22.47614444444444
236,2575,349.275,-22.316666666666663,"F605",-126,-123,"RI:","III",40,:,17.4,:,18.8, ,19.4, ," ",290,41,41.64,-68.58,, ,0,6,17.4,2,C,2,O,349.93618222222216,-22.042789999999997
237,2577,349.525,-23.266666666666662,"F536",-124,92,"R  ","I-II",48, ,16.0, ,16.8, ,18.0, ," ",288,256,39.32,-69.08,, ,0,6,17.3,2,O,, ,350.18664888888884,-22.992571666666663
238,2579,349.65,-21.866666666666664,"F605",-108,-97,"IR:","II",81,:,15.6,:,16.3,:,17.4, ," ",272,67,43.12,-68.76,, ,2,5,17.2,2,C,, ,350.31000888888883,-21.592468055555553
239,2580,349.69999999999993,-23.48333333333333,"F536",-115,81,"R  ","I",77, ,15.1,:,17.1, ,18.3, ," ",279,245,38.86,-69.29,, ,1,6,17.3,2,O,, ,350.3615069444444,-23.20908972222222
240,2581,349.775,-17.266666666666666,"F605",-104,152,"I  ","II-III",45,*,18.1, ,18.6, ,19.1, ," ",268,316,54.34,-66.93,, ,0,6,17.4,2,C,, ,350.4304505555555,-16.992371388888888
241,2583,349.87499999999994,-20.73333333333333,"F605",-96,-35,"R  ","III",49, ,16.5, ,16.7, ,17.4, ," ",260,129,46.24,-68.55,, ,0,5,17.2,1,C,, ,350.5335030555555,-20.458948888888887
242,2585,350.07499999999993,-26.566666666666663,"F536",-94,-85,"I  ","I-II",50, ,16.4, ,16.6, ,18.1, ," ",258,79,30.31,-70.25,, ,1,6,17.3,1,O,, ,350.73876499999994,-26.29210833333333
243,2587,350.17499999999995,-22.716666666666665,"F536",-92,123,"I  ","III",51,?,17.5,?,18.3,:,19.1, ," ",256,287,41.3,-69.49,, ,1,6,17.4,1,O,1,C,350.8348005555555,-22.44203444444444
244,2586,350.17499999999995,-20.666666666666664,"F605",-82,-32,"I  ","II-III",39, ,16.4,?,16.7, ,17.6, ," ",246,132,46.7,-68.78,, ,0,5,17.2,1,C,, ,350.8329019444444,-20.392038055555552
245,2595,350.57499999999993,-20.833333333333332,"F605",-60,-42,"R  ","II-III",50, ,17.3,:,18.0, ,19.0, ," ",224,122,46.68,-69.19,, ,1,6,17.3,1,C,, ,351.2323297222222,-20.55839083333333
246,2596,350.59999999999997,-23.68333333333333,"F536",-71,71,"RI ","I-II",46, ,15.5, ,16.1, ,17.0, ," ",235,235,38.94,-70.14,, ,0,5,17.2,1,O,, ,351.25982722222216,-23.408366666666662
247,2600,350.99999999999994,-22.699999999999996,"F536",-51,124,"I  ","III",50, ,15.5, ,16.0, ,17.0, ," ",215,288,42.03,-70.21,, ,1,5,17.1,1,O,1,C,351.6581402777777,-22.424735555555554
248,2599,351.04999999999995,-24.13333333333333,"F536",-49,47,"RI ","II",84,:,15.4, ,15.6, ,16.6, ," ",213,211,37.95,-70.66,, ,2,5,16.8,1,O,, ,351.7092769444444,-23.858029999999996
249,2601,351.07499999999993,-24.71666666666666,"F536",-48,16,"I  ","II-III",54, ,16.7, ,17.5, ,18.6, ," ",212,180,36.25,-70.81,, ,1,6,17.3,1,O,, ,351.7347327777777,-24.441344166666664
250,2603,351.32499999999993,-25.666666666666664,"F536",-35,-35,"RI ","I-II",43, ,16.1, ,18.0, ,18.4, ," ",199,129,33.52,-71.22,, ,0,6,17.3,1,O,, ,351.9849991666666,-25.391163611111107
251,2604,351.44999999999993,-22.849999999999998,"F536",-29,116,"R  ","III",-4, ,17.3,?,17.8,?,18.7,:," ",193,280,41.98,-70.65,, ,0,6,17.3,1,O,1,C,352.1073638888888,-22.574414444444443
252,2605,351.62499999999994,-23.699999999999996,"F536",-21,70,"RI ","I-II",42, ,15.3, ,16.0, ,17.4, ," ",185,234,39.64,-71.05,, ,0,5,17.2,1,O,, ,352.2826947222222,-23.424292777777776
253,2606,351.69999999999993,-21.416666666666664,"F605",-4,-76,"I  ","II?",61, ,17.3,?,18.1,?,19.2, ," ",168,88,46.26,-70.38,, ,1,6,17.4,1,C,, ,352.35573777777773,-21.140912499999995
254,2609,351.92499999999995,-26.416666666666664,"F536",-5,-76,"RI ","I-II",73, ,15.9, ,17.4, ,17.8, ," ",169,88,31.44,-71.87,, ,1,5,17.2,1,O,, ,352.58422749999994,-26.14075472222222
255,2608,351.92499999999995,-21.966666666666665,"F605",6,-102,"IR ","III",57, ,17.3, ,17.6, ,18.2, ," ",158,62,44.95,-70.78,, ,1,6,17.3,1,C,, ,352.5807319444444,-21.690761944444443
256,2612,352.04999999999995,-18.949999999999996,"F605",12,120,"IR ","III:",85, ,18.4,:,19.0,:,19.6, ," ",152,284,53.21,-69.64,, ,2,6,17.4,1,C,, ,352.7032805555555,-18.674019166666664
257,2615,352.57499999999993,-23.799999999999997,"F536",26,64,"RI ","II-III",130, ,16.9, ,17.8, ,19.1, ," ",138,228,40.08,-71.92,, ,3,6,17.4,1,O,, ,353.2307708333333,-23.523684722222217
258,2614,352.62499999999994,-21.83333333333333,"F605",41,-96,"I  ","II?",9, ,17.9, ,18.8, ,19.6, ," ",123,68,46.04,-71.34,, ,0,6,17.4,1,C,, ,353.27928888888886,-21.556991388888886
259,2628,353.59999999999997,-24.466666666666665,"F536",76,28,"I  ","II-III",64, ,16.0, ,17.6, ,18.1, ," ",88,192,38.73,-72.99,, ,1,6,17.3,1,O,, ,354.2540136111111,-24.18977972222222
260,2629,353.79999999999995,-23.18333333333333,"F536",87,97,"I  ","II-III",83, ,17.5, ,18.0, ,18.9, ," ",77,261,43.1,-72.81,, ,2,6,17.3,1,O,, ,354.45281638888883,-22.90634722222222
261,2641,354.57499999999993,-25.166666666666664,"F536",122,-10,"IR:","II:",80, ,16.8, ,17.7, ,18.5, ," ",42,154,37.03,-74.01,, ,2,6,17.3,2,O,, ,355.2272483333333,-24.889317777777773
262,2655,355.47499999999997,-22.166666666666664,"F606",-78,-114,"RI "," ",-10, ,16.1, ,17.3, ,17.1, ," ",242,50,48.3,-73.91,, ,0,5,17.2,1,O,, ,356.1239441666666,-21.88896805555555
263,2660,355.72499999999997,-26.366666666666664,"F537",-88,-72,"I  ","II",20, ,14.9, ,15.4, ,16.1, ," ",252,92,33.22,-75.24,, ,0,4,16.3,1,O,, ,356.37514222222217,-26.088875555555553
264,2663,356.82499999999993,-25.03333333333333,"F537",-35,0,"R  ","I-II",63,:,17.7, ,18.4, ,19.0, ," ",199,164,39.23,-75.97,, ,1,6,17.4,2,O,, ,357.4721188888888,-24.755227222222217
265,2667,357.275,-26.33333333333333,"F537",-14,-71,"R  ","I-II",132, ,17.0, ,18.3, ,18.9,:," ",178,93,34.15,-76.61,, ,3,6,17.4,2,O,, ,357.9214305555555,-26.055125277777773
266,2679,358.17499999999995,-20.73333333333333,"F606",57,-38,"R: ","III",82, ,16.8, ,17.3, ,18.1, ," ",107,126,57.41,-75.54,, ,2,6,17.3,2,O,1,C,358.8184330555555,-20.454984166666662
267,2680,358.47499999999997,-21.316666666666663,"F606",72,-69,"R  ","III",185, ,16.8, ,17.8, ,18.5, ," ",92,95,55.9,-76.07,, ,3,6,17.3,1,O,1,C,359.11795361111103,-21.038282222222218
268,2682,358.72499999999997,-20.849999999999998,"F538",-66,-44,"I  ","III",96,?,15.4, ,16.0, ,17.1, ," ",230,120,58.06,-76.04,, ,2,5,17.1,1,C,1,O,359.36743999999993,-20.57159333333333
269,2681,358.74999999999994,-24.616666666666664,"F537",58,22,"RI:","II:",51,:,15.9, ,17.1, ,18.8, ," ",106,186,42.9,-77.56,, ,1,6,17.4,2,O,, ,359.39274249999994,-24.338252777777775
270,2683,358.74999999999994,-25.866666666666664,"F537",58,-45,"I: ","II-III",37, ,15.4, ,16.7, ,18.1, ," ",106,119,37.18,-77.84,, ,0,6,17.3,1,O,, ,359.3928625,-25.58825083333333
271,2685,358.94999999999993,-24.699999999999996,"F537",69,18,"R  ","I-II",44, ,15.5, ,17.0, ,18.2,:," ",95,182,42.75,-77.76,, ,0,5,17.2,2,O,, ,359.59230638888886,-24.42157194444444
272,2686,359.12499999999994,-21.049999999999997,"F538",-46,-55,"IR ","III",61, ,14.3,:,15.4, ,16.3, ," ",210,109,58.13,-76.46,0.1124, ,1,4,16.4,1,C,2,O,359.7667158333333,-20.771567499999996
273,2690,359.42499999999995,-25.48333333333333,"F472",-31,-24,"R  ","I",37, ,14.7, ,16.3, ,16.8, ," ",195,140,39.58,-78.36,, ,0,5,16.9,2,O,, ,0.06627249999999998,-25.204884166666663
274,2693,359.9,-19.866666666666664,"F538",-6,9,"RI:","II-III",61, ,17.0,:,17.8, ,18.4, ," ",170,173,64.05,-76.42,, ,1,6,17.3,2,O,, ,0.5403019444444443,-19.588224999999998
