recno,ABELL,RAB1950,DEB1950,Field,Xcen,Ycen,Atype,BMtype,Count,u_Count,m1,u_m1,m3,u_m3,m10,u_m10,Prev,Xpos,Ypos,GLON,GLAT,z,u_z,Rich,Dclass,m10A,NF_1,Obs_1,NF_2,Obs_2,_RA_icrs,_DE_icrs
101,842,144.02499999999998,-20.749999999999996,"F565",109,-40,"I  ","II:",39, ,14.6,?,16.5, ,17.1, ," ",55,124,253.77,22.96,, ,0,5,17.2,1,C,1,O,144.60369583333332,-20.97614444444444
102,857,144.97499999999997,-22.43333333333333,"F498",95,140,"RI:","II-III",63, ,16.1,?,17.0, ,18.0, ," ",69,304,255.75,22.41,, ,1,6,17.3,2,C,1,O,145.54972638888887,-22.662136111111106
103,916,150.34999999999997,-19.116666666666664,"F567",-97,48,"I  ","II-III",33, ,17.5, ,17.9, ,18.9, ," ",261,212,257.24,28.27,, ,0,6,17.4,1,C,, ,150.94297416666666,-19.359343888888887
104,955,152.64999999999998,-24.249999999999996,"F500",-67,42,"R  ","II-III",84, ,17.6,?,17.9, ,18.6, ," ",231,206,262.82,25.77,, ,2,6,17.4,1,C,, ,153.23322166666665,-24.497954999999997
105,966,153.47499999999997,-25.166666666666664,"F500",-26,-8,"R  ","II:",65, ,17.0,?,17.6, ,18.5, ," ",190,156,264.1,25.51,, ,1,6,17.4,1,C,, ,154.0574522222222,-25.416420277777775
106,1060,158.575,-27.249999999999996,"F501",-45,-121,"RI ","III",39, ,11.5, ,11.8, ,12.7,:," ",209,43,269.59,26.5,0.0114, ,0,0,13.0,1,C,1,O,159.16362999999998,-27.509714722222217
107,1088,160.54999999999998,-19.216666666666665,"F569",-113,42,"RI ","II-III",25, ,15.6, ,16.0, ,16.8, ," ",277,206,266.15,34.18,, ,0,5,17.2,2,C,, ,161.15855305555553,-19.479691666666664
108,1090,160.79999999999998,-18.083333333333332,"F569",-101,105,"R  ","II",32,*,15.6, ,16.6, ,17.3,:," ",265,269,265.61,35.25,, ,0,6,17.4,2,C,, ,161.41094833333332,-18.34675472222222
109,1146,164.7,-22.449999999999996,"F569",95,-131,"R  ","I?",162,:,15.8, ,17.0, ,17.7, ," ",69,33,272.17,33.49,0.141, ,3,6,17.4,2,C,1,O,165.3106597222222,-22.718950277777775
110,1160,165.67499999999998,-18.699999999999996,"F570",-122,71,"IR:","III",68, ,18.4,:,18.6,:,19.2,?," ",286,235,270.87,37.2,, ,1,6,17.6,2,C,, ,166.29262277777775,-18.97013611111111
111,1161,165.72499999999997,-21.849999999999998,"F570",-117,-98,"I  ","III",53, ,16.6,?,17.0,?,17.8,:," ",281,66,272.82,34.47,, ,1,6,17.4,2,C,, ,166.33849138888885,-22.12019694444444
112,1163,165.825,-21.266666666666662,"F570",-110,-68,"R: ","II",85, ,16.1,?,17.0, ,17.8, ," ",274,96,272.58,35.03,, ,2,6,17.4,1,C,, ,166.43946972222219,-21.536980277777776
113,1165,165.95,-24.48333333333333,"F502",43,30,"R  ","I-II",50, ,17.8,?,18.9, ,19.2, ," ",121,194,274.53,32.25,, ,1,6,17.6,1,O,, ,166.56031083333332,-24.753793888888886
