recno,ACO,RAB1950,DEB1950,Field,Xcen,Ycen,Atype,BMtype,Count,u_Count,m1,u_m1,m3,u_m3,m10,u_m10,Prev,Xpos,Ypos,GLON,GLAT,z,u_z,Rich,Dclass,m10A,NF_1,Obs_1,NF_2,Obs_2,NF_3,Obs_3,_RA_icrs,_DE_icrs
53,2765,4.749999999999999,-21.03333333333333,"F539",-27,-54,"IR ","II",55, ,15.7, ,16.6, ,16.8, ," ",191,110,74.36,-80.66,, ,1,5,17.0,1,O,, ,, ,5.381292777777777,-20.75597472222222
79,2791,7.899999999999999,-21.849999999999998,"F474",-156,115,"I  ","III",73, ,17.7, ,18.2, ,18.9, ," ",320,279,86.61,-83.19,, ,1,6,17.3,1,C,, ,, ,8.52483611111111,-21.574407777777775
91,2803,9.249999999999998,-20.249999999999996,"F540",-64,-11,"I  ","II-III",105, ,18.2, ,18.5, ,19.1, ," ",228,153,101.39,-82.34,, ,2,6,17.4,1,C,, ,, ,9.873733888888887,-19.975423055555552
69,2781,6.899999999999999,-20.349999999999998,"F539",81,-18,"IR ","III",78, ,17.8, ,18.6, ,19.1, ," ",83,146,87.13,-81.42,, ,1,6,17.4,1,O,, ,, ,7.527802222222221,-20.073758888888886
44,2756,3.8249999999999993,-19.583333333333332,"F539",-74,25,"RI ","II-III",79, ,15.4, ,16.5, ,17.1, ," ",238,189,76.58,-79.02,, ,1,5,17.2,1,O,, ,, ,4.458580277777777,-19.305616666666666
27,2739,2.5499999999999994,-18.98333333333333,"F539",-139,56,"I  ","II-III",90, ,17.5, ,17.6, ,19.1, ," ",303,220,74.34,-77.75,, ,2,6,17.4,1,O,, ,, ,3.185926944444444,-18.70523944444444
36,2748,3.3749999999999996,-18.48333333333333,"F539",-97,84,"IR ","III",70, ,18.0, ,18.7, ,19.5, ," ",261,248,78.68,-77.91,, ,1,6,17.4,1,O,, ,, ,4.009734444444444,-18.205469166666663
56,2768,5.374999999999999,-17.333333333333332,"F539",6,145,"RI ","II",68, ,18.1, ,18.1, ,18.6, ," ",158,309,89.35,-78.1,, ,1,6,17.3,1,O,, ,, ,6.007132499999999,-17.056265277777776
104,2816,10.825,-18.366666666666664,"F540",16,88,"I  ","II-III",48, ,14.8, ,15.8, ,16.7, ," ",148,252,114.45,-80.87,, ,0,5,16.9,1,C,, ,, ,11.447955555555554,-18.09346694444444
103,2815,10.749999999999998,-17.15,"F540",11,153,"R: ","III",110, ,17.9, ,18.6, ,19.1, ," ",153,317,115.0,-79.66,, ,2,6,17.4,1,C,, ,, ,11.374321388888887,-16.876732777777775
1266,3978,347.17499999999995,-29.066666666666663,"F470",-172,47,"RI ","II-III",58,:,16.9, ,17.7, ,18.3, ," ",336,211,22.76,-67.89,, ,1,6,17.3,2,O,, ,, ,347.84898472222216,-28.79479944444444
1268,3980,347.57499999999993,-28.63333333333333,"F469",118,74,"RI ","I-II",36, ,17.8, ,18.6, ,19.3, ,"B",46,238,23.95,-68.22,, ,0,6,17.4,2,O,, ,, ,348.2473627777777,-28.361053611111107
1302,4014,352.44999999999993,-25.766666666666662,"F536",20,-41,"I  ","II",35, ,16.1, ,16.8, ,17.6, ," ",144,123,33.76,-72.24,, ,0,5,17.2,1,O,, ,, ,353.10748833333327,-25.490423888888884
1285,3997,349.67499999999995,-24.449999999999996,"F536",-115,29,"I  ","II-III",39, ,16.6, ,17.4, ,18.1, ," ",279,193,36.18,-69.51,, ,0,6,17.3,1,O,, ,, ,350.3375319444444,-24.175775555555553
1291,4003,350.525,-23.38333333333333,"F536",-74,87,"R  ","II",49, ,17.3, ,18.0, ,19.0, ," ",238,251,39.73,-69.99,, ,0,6,17.3,1,O,, ,, ,351.1847091666666,-23.108424722222217
1273,3985,348.32499999999993,-23.599999999999998,"F535",88,74,"R  ","I-II",36, ,14.2,*,16.0, ,16.8, ," ",76,238,37.63,-68.11,, ,0,5,17.0,1,O,, ,, ,348.9894733333333,-23.326990555555554
1284,3996,349.67499999999995,-22.38333333333333,"F604",155,-126,"I  ","III",59, ,17.5, ,18.0, ,18.4, ," ",9,38,41.79,-68.95,, ,1,6,17.3,1,C,, ,, ,350.33546777777775,-22.109112777777774
1333,4045,356.92499999999995,-19.466666666666665,"F606",-5,31,"RI ","I",53, ,15.7, ,16.8, ,17.5, ," ",169,195,59.2,-73.88,, ,1,5,17.2,1,O,, ,, ,357.57037944444437,-19.188544999999998
1320,4032,355.9,-20.066666666666663,"F606",-57,-2,"RI ","I-II",40, ,16.8, ,18.0, ,18.1, ," ",221,162,55.63,-73.35,, ,0,6,17.3,1,O,, ,, ,356.5473402777777,-19.788827499999996
1252,3964,345.42499999999995,-20.18333333333333,"F604",-56,-9,"I  ","II-III",42, ,15.8, ,16.6, ,18.1, ," ",220,155,43.59,-64.48,, ,0,6,17.3,1,C,, ,, ,346.0907047222222,-19.91344833333333
1237,3949,344.025,-20.249999999999996,"F604",-127,-12,"I  ","III",43, ,17.3, ,17.6, ,18.9, ," ",291,152,42.37,-63.28,, ,0,6,17.3,1,C,, ,, ,344.69320388888883,-19.981867499999996
1239,3951,344.24999999999994,-18.9,"F604",-118,60,"I  ","II-III",67, ,16.7, ,17.3, ,17.8, ," ",282,224,45.31,-62.96,, ,1,5,17.2,1,C,, ,, ,344.9158577777777,-18.631578055555554
8,2720,0.6499999999999999,-18.299999999999997,"F538",28,92,"I  ","I",80, ,17.3, ,17.7, ,18.9, ," ",136,256,71.02,-75.98,, ,2,6,17.4,1,C,1,O,, ,1.2891388888888886,-18.02159833333333
13,2725,1.1999999999999997,-17.999999999999996,"F538",58,108,"IR ","I-II",92, ,17.9,?,18.6,:,19.6,:," ",106,272,73.42,-76.15,, ,2,6,17.4,1,C,1,O,, ,1.838304722222222,-17.721656666666664
17,2729,1.7249999999999999,-17.066666666666663,"F538",85,157,"I  ","II-III?",64, ,16.4, ,17.4, ,18.3,:," ",79,321,77.57,-75.81,, ,1,5,17.2,1,C,1,O,, ,2.362660277777777,-16.788404166666663
1185,3897,339.15,-17.65,"F602",158,129,"I  ","II",63, ,15.2,:,15.8, ,16.6, ," ",6,293,43.69,-58.02,, ,1,5,16.8,1,C,, ,, ,339.82151722222216,-17.389218055555553
664,3376,89.77499999999999,-40.05,"F307",-50,-1,"RI ","I",42, ,13.0, ,15.0, ,15.3, ,"d",214,163,246.53,-26.29,0.0455, ,0,3,15.4,1,O,, ,, ,90.1815211111111,-40.04987666666666
670,3382,92.09999999999998,-37.78333333333333,"F307",50,119,"R  ","III",51, ,14.5,*,16.8, ,18.6, ," ",114,283,244.67,-23.93,, ,1,5,17.1,1,O,, ,, ,92.52485611111109,-37.79455166666666
666,3378,91.02499999999999,-35.3,"F364",43,-14,"R  ","I",78, ,16.8, ,18.0, ,18.9, ," ",121,150,241.8,-24.02,, ,1,5,17.1,1,O,, ,, ,91.46845444444443,-35.30604166666666
669,3381,92.02499999999999,-33.58333333333333,"F364",88,77,"RI ","I",69, ,13.7, ,14.4, ,14.7, ,"d",76,241,240.3,-22.7,0.0282, ,1,2,14.7,1,O,, ,, ,92.48080305555554,-33.59426305555555
660,3372,88.49999999999999,-34.8,"F364",-68,13,"IR ","I-II",35, ,14.4, ,15.7, ,16.2, ," ",232,177,240.6,-25.84,, ,0,4,16.3,1,O,, ,, ,88.9471272222222,-34.79378027777777
658,3370,88.24999999999999,-32.33333333333333,"F364",-80,145,"I  ","I",49, ,15.6, ,16.7, ,16.9, ," ",244,309,237.92,-25.32,, ,0,5,16.9,1,O,, ,, ,88.71441638888888,-32.325941388888886
675,3387,95.17499999999998,-25.599999999999998,"F489",79,-32,"I  ","III",72, ,17.1, ,18.0, ,19.1, ," ",85,132,233.39,-17.31,, ,1,5,17.1,1,O,, ,, ,95.68269222222222,-25.626328888888885
643,3355,83.225,-32.33333333333333,"F363",-35,143,"RI ","III",46, ,17.8, ,18.0, ,18.8, ," ",199,307,236.55,-29.38,, ,0,5,17.2,1,O,, ,, ,83.69058694444443,-32.30159111111111
652,3364,86.42499999999998,-31.899999999999995,"F424",5,-100,"RI?","II",75, ,16.1,:,17.3, ,18.4, ," ",159,64,236.95,-26.66,, ,1,5,17.2,2,O,, ,, ,86.89261527777776,-31.883754999999997
657,3369,87.42499999999998,-29.066666666666663,"F424",53,52,"I  ","II-III",68, ,16.9, ,17.6, ,19.3, ," ",111,216,234.25,-24.97,, ,1,5,17.2,1,O,, ,, ,87.9109786111111,-29.05532083333333
629,3341,80.92499999999998,-31.63333333333333,"F423",17,-86,"RI ","II",87, ,13.1, ,14.1, ,14.6, ," ",147,78,235.18,-31.08,, ,2,2,14.7,1,O,, ,, ,81.39624083333332,-31.590528611111107
628,3340,80.87499999999999,-30.949999999999996,"F423",15,-49,"R: ","I-II",87, ,16.0, ,17.3, ,18.4, ," ",149,115,234.39,-30.94,, ,2,5,17.2,1,O,, ,, ,81.3507547222222,-30.906966388888886
632,3344,81.14999999999999,-30.533333333333328,"F423",28,-27,"R  ","I",69, ,16.7, ,17.4, ,19.0, ," ",136,137,234.0,-30.6,, ,1,5,17.2,1,O,, ,, ,81.62833722222221,-30.49162694444444
630,3342,80.99999999999999,-30.63333333333333,"F423",21,-32,"R  ","I-II",85, ,17.1, ,17.3, ,18.9, ," ",143,132,234.07,-30.75,, ,2,5,17.2,1,O,, ,, ,81.47775666666665,-30.590904722222216
623,3335,79.975,-31.049999999999997,"F423",-26,-54,"RI ","II",59, ,17.3, ,17.8, ,18.4, ," ",190,110,234.27,-31.71,, ,1,5,17.2,1,O,, ,, ,80.45054305555554,-31.002649722222216
641,3353,82.87499999999999,-29.016666666666662,"F423",110,53,"RI ","I-II",39, ,17.4, ,18.4, ,19.2, ," ",54,217,232.82,-28.74,, ,0,6,17.3,2,O,, ,, ,83.36235249999999,-28.983288888888886
642,3354,83.17499999999998,-28.533333333333328,"F423",125,80,"RI:","II",54,:,12.5, ,14.1,:,15.3, ," ",39,244,232.38,-28.34,, ,1,3,15.3,2,O,, ,, ,83.66528888888888,-28.50141083333333
655,3367,86.82499999999999,-24.48333333333333,"F488",-61,30,"I  ","I-II",33, ,14.4, ,14.7, ,15.6, ," ",225,194,229.31,-23.93,, ,0,3,15.6,1,O,, ,, ,87.33899222222222,-24.469144166666663
656,3368,87.1,-22.549999999999997,"F488",-47,133,"RI ","I-II",32, ,15.1, ,15.6, ,16.1, ," ",211,297,227.44,-23.0,, ,0,4,16.1,1,O,, ,, ,87.62512138888887,-22.53717333333333
665,3377,89.89999999999999,-20.749999999999996,"F555",31,-38,"R: ","I-II",140, ,17.2, ,18.0, ,19.3, ," ",133,126,226.7,-19.91,, ,3,5,17.2,1,O,, ,, ,90.43508666666665,-20.750800555555553
662,3374,88.69999999999999,-21.266666666666662,"F555",-30,-65,"I  ","II",34, ,13.5, ,14.6, ,16.1, ," ",194,99,226.75,-21.15,, ,0,4,16.1,1,O,, ,, ,89.23223944444443,-21.261628888888886
682,3394,96.44999999999999,-22.199999999999996,"F556",94,-116,"IR ","III",60, ,18.1, ,18.4,:,19.0, ," ",70,48,230.62,-14.89,, ,1,5,17.0,2,O,2,C,, ,96.97763638888888,-22.232538611111107
671,3383,92.12499999999999,-18.9,"F556",-124,60,"IR ","III",82, ,16.7, ,17.5, ,18.2,:," ",288,224,225.78,-17.26,, ,2,5,16.9,1,C,1,O,, ,92.67029972222221,-18.911634999999997
