wavelength(Ang),flux(rel)
3006.3,0.226
3017.3,0.13
3028.3,0.161
3039.3,0.191
3050.3,0.216
3061.3,0.148
3072.3,0.056
3083.3,0.073
3094.3,0.203
3105.3,0.274
3116.3,0.267
3127.2,0.247
3138.2,0.195
3149.2,0.287
3160.2,0.303
3171.2,0.292
3182.2,0.298
3198.7,0.375
3220.7,0.341
3242.7,0.329
3264.6,0.354
3286.6,0.359
3308.6,0.374
3330.6,0.375
3352.6,0.385
3374.6,0.403
3396.5,0.415
3418.5,0.423
3440.5,0.41
3462.5,0.419
3484.5,0.431
3506.5,0.386
3528.5,0.42
3550.4,0.373
3572.4,0.443
3594.4,0.486
3616.4,0.48
3638.4,0.482
3660.4,0.481
3682.3,0.472
3704.3,0.425
3726.3,0.445
3748.3,0.449
3770.3,0.458
3792.3,0.471
3814.2,0.472
3836.2,0.495
3858.2,0.514
3880.2,0.484
3902.2,0.529
3924.2,0.44
3946.2,0.443
3968.1,0.487
3990.1,0.502
4001.1,0.507
4012.1,0.56
4034.1,0.552
4056.1,0.512
4078.1,0.592
4100.0,7.153
4122.0,0.564
4144.0,0.631
4166.0,0.691
4188.0,0.739
4210.0,0.561
4231.9,0.734
4253.9,0.786
4275.9,0.656
4297.9,0.848
4319.9,0.49
4341.9,0.74
4363.9,0.491
4385.8,0.936
4407.8,1.029
4429.8,1.038
4451.8,1.012
4473.8,0.978
4495.8,0.989
4517.7,0.879
4539.7,1.014
4561.7,1.039
4583.7,1.038
4605.7,1.034
4627.7,1.051
4649.6,1.032
4671.6,1.058
4693.6,1.014
4715.6,0.989
4737.6,0.894
4759.6,0.971
4781.5,0.9
4803.5,1.103
4825.5,1.053
4847.5,1.074
4869.5,1.098
4891.5,1.107
4913.5,1.147
4935.4,1.15
4957.4,1.254
4979.4,1.144
5001.4,1.162
5023.4,1.232
5045.4,1.171
5067.3,1.197
5089.3,1.162
5111.3,1.178
5133.3,1.204
5155.3,1.17
5177.3,1.133
5199.2,1.185
5221.2,1.208
5243.2,1.201
5265.2,1.193
5287.2,1.174
5309.2,1.182
5331.2,1.768
5353.1,2.503
5375.1,1.122
5397.1,1.134
5419.1,1.117
5441.1,1.711
5463.1,1.397
5485.0,1.103
5507.0,7.698
5529.0,1.083
5551.0,1.078
5573.0,1.118
5595.0,1.07
5616.9,1.086
5638.9,1.053
5660.9,1.02
5682.9,0.971
5704.9,0.987
5726.9,1.027
5748.9,1.051
5770.8,1.08
5792.8,0.978
5814.8,1.077
5836.8,1.112
5858.8,1.014
5880.8,1.083
5902.7,1.077
5924.7,1.054
5946.7,1.032
5968.7,1.046
5990.7,1.073
6012.7,1.043
6034.6,1.044
6056.6,1.036
6078.6,1.047
6100.6,1.06
6122.6,1.04
6144.6,1.016
6166.5,1.044
6188.5,1.034
6210.5,1.038
6232.5,1.016
6254.5,1.038
6276.5,1.014
6298.5,1.075
6320.4,1.034
6342.4,1.043
6364.4,1.013
6386.4,1.038
6408.4,1.058
6430.4,1.028
6452.3,1.028
6474.3,0.957
6496.3,1.012
6518.3,1.009
6540.3,1.01
6562.3,1.018
6584.2,1.0
6606.2,0.984
6628.2,1.0
6650.2,1.01
6672.2,1.007
6694.2,0.977
6716.2,0.977
6738.1,0.937
6760.1,0.947
6782.1,0.916
6804.1,0.957
6826.1,0.952
6848.1,0.927
6870.0,0.897
6892.0,0.933
6914.0,0.943
6936.0,0.92
6958.0,0.926
6980.0,0.924
