wavelength(Ang),flux(rel)
3004.4,0.216
3015.2,0.148
3026.0,0.056
3036.8,0.073
3047.7,0.203
3058.5,0.274
3069.3,0.267
3080.2,0.247
3091.0,0.195
3101.8,0.287
3112.6,0.303
3123.5,0.292
3134.3,0.298
3150.5,0.375
3172.2,0.341
3193.8,0.329
3215.5,0.354
3237.1,0.359
3258.8,0.374
3280.4,0.375
3302.1,0.385
3323.8,0.403
3345.4,0.415
3367.1,0.423
3388.7,0.41
3410.4,0.419
3432.0,0.431
3453.7,0.386
3475.3,0.42
3497.0,0.373
3518.6,0.443
3540.3,0.486
3561.9,0.48
3583.6,0.482
3605.2,0.481
3626.9,0.472
3648.5,0.425
3670.2,0.445
3691.9,0.449
3713.5,0.458
3735.2,0.471
3756.8,0.472
3778.5,0.495
3800.1,0.514
3821.8,0.484
3843.4,0.529
3865.1,0.44
3886.7,0.443
3908.4,0.487
3930.0,0.502
3940.9,0.507
3951.7,0.56
3973.3,0.552
3995.0,0.512
4016.7,0.592
4038.3,7.153
4060.0,0.564
4081.6,0.631
4103.3,0.691
4124.9,0.739
4146.6,0.561
4168.2,0.734
4189.9,0.786
4211.5,0.656
4233.2,0.848
4254.8,0.49
4276.5,0.74
4298.1,0.491
4319.8,0.936
4341.4,1.029
4363.1,1.038
4384.8,1.012
4406.4,0.978
4428.1,0.989
4449.7,0.879
4471.4,1.014
4493.0,1.039
4514.7,1.038
4536.3,1.034
4558.0,1.051
4579.6,1.032
4601.3,1.058
4622.9,1.014
4644.6,0.989
4666.2,0.894
4687.9,0.971
4709.6,0.9
4731.2,1.103
4752.9,1.053
4774.5,1.074
4796.2,1.098
4817.8,1.107
4839.5,1.147
4861.1,1.15
4882.8,1.254
4904.4,1.144
4926.1,1.162
4947.7,1.232
4969.4,1.171
4991.0,1.197
5012.7,1.162
5034.3,1.178
5056.0,1.204
5077.7,1.17
5099.3,1.133
5121.0,1.185
5142.6,1.208
5164.3,1.201
5185.9,1.193
5207.6,1.174
5229.2,1.182
5250.9,1.768
5272.5,2.503
5294.2,1.122
5315.8,1.134
5337.5,1.117
5359.1,1.711
5380.8,1.397
5402.5,1.103
5424.1,7.698
5445.8,1.083
5467.4,1.078
5489.1,1.118
5510.7,1.07
5532.4,1.086
5554.0,1.053
5575.7,1.02
5597.3,0.971
5619.0,0.987
5640.6,1.027
5662.3,1.051
5683.9,1.08
5705.6,0.978
5727.2,1.077
5748.9,1.112
5770.6,1.014
5792.2,1.083
5813.9,1.077
5835.5,1.054
5857.2,1.032
5878.8,1.046
5900.5,1.073
5922.1,1.043
5943.8,1.044
5965.4,1.036
5987.1,1.047
6008.7,1.06
6030.4,1.04
6052.0,1.016
6073.7,1.044
6095.4,1.034
6117.0,1.038
6138.7,1.016
6160.3,1.038
6182.0,1.014
6203.6,1.075
6225.3,1.034
6246.9,1.043
6268.6,1.013
6290.2,1.038
6311.9,1.058
6333.5,1.028
6355.2,1.028
6376.8,0.957
6398.5,1.012
6420.1,1.009
6441.8,1.01
6463.5,1.018
6485.1,1.0
6506.8,0.984
6528.4,1.0
6550.1,1.01
6571.7,1.007
6593.4,0.977
6615.0,0.977
6636.7,0.937
6658.3,0.947
6680.0,0.916
6701.6,0.957
6723.3,0.952
6744.9,0.927
6766.6,0.897
6788.3,0.933
6809.9,0.943
6831.6,0.92
6853.2,0.926
6874.9,0.924
6896.5,0.92
6918.2,0.931
6939.8,0.908
6961.5,0.918
6983.1,0.914
