wavelength(Ang),flux(rel)
3004.9,0.354
3025.2,0.359
3045.4,0.374
3065.6,0.375
3085.9,0.385
3106.1,0.403
3126.3,0.415
3146.6,0.423
3166.8,0.41
3187.0,0.419
3207.3,0.431
3227.5,0.386
3247.8,0.42
3268.0,0.373
3288.2,0.443
3308.5,0.486
3328.7,0.48
3348.9,0.482
3369.2,0.481
3389.4,0.472
3409.6,0.425
3429.9,0.445
3450.1,0.449
3470.3,0.458
3490.6,0.471
3510.8,0.472
3531.0,0.495
3551.3,0.514
3571.5,0.484
3591.8,0.529
3612.0,0.44
3632.2,0.443
3652.5,0.487
3672.7,0.502
3682.8,0.507
3692.9,0.56
3713.2,0.552
3733.4,0.512
3753.6,0.592
3773.9,7.153
3794.1,0.564
3814.3,0.631
3834.6,0.691
3854.8,0.739
3875.0,0.561
3895.3,0.734
3915.5,0.786
3935.8,0.656
3956.0,0.848
3976.2,0.49
3996.5,0.74
4016.7,0.491
4036.9,0.936
4057.2,1.029
4077.4,1.038
4097.6,1.012
4117.9,0.978
4138.1,0.989
4158.3,0.879
4178.6,1.014
4198.8,1.039
4219.0,1.038
4239.3,1.034
4259.5,1.051
4279.8,1.032
4300.0,1.058
4320.2,1.014
4340.5,0.989
4360.7,0.894
4380.9,0.971
4401.2,0.9
4421.4,1.103
4441.6,1.053
4461.9,1.074
4482.1,1.098
4502.3,1.107
4522.6,1.147
4542.8,1.15
4563.0,1.254
4583.3,1.144
4603.5,1.162
4623.8,1.232
4644.0,1.171
4664.2,1.197
4684.5,1.162
4704.7,1.178
4724.9,1.204
4745.2,1.17
4765.4,1.133
4785.6,1.185
4805.9,1.208
4826.1,1.201
4846.3,1.193
4866.6,1.174
4886.8,1.182
4907.0,1.768
4927.3,2.503
4947.5,1.122
4967.8,1.134
4988.0,1.117
5008.2,1.711
5028.5,1.397
5048.7,1.103
5068.9,7.698
5089.2,1.083
5109.4,1.078
5129.6,1.118
5149.9,1.07
5170.1,1.086
5190.3,1.053
5210.6,1.02
5230.8,0.971
5251.0,0.987
5271.3,1.027
5291.5,1.051
5311.7,1.08
5332.0,0.978
5352.2,1.077
5372.5,1.112
5392.7,1.014
5412.9,1.083
5433.2,1.077
5453.4,1.054
5473.6,1.032
5493.9,1.046
5514.1,1.073
5534.3,1.043
5554.6,1.044
5574.8,1.036
5595.0,1.047
5615.3,1.06
5635.5,1.04
5655.7,1.016
5676.0,1.044
5696.2,1.034
5716.5,1.038
5736.7,1.016
5756.9,1.038
5777.2,1.014
5797.4,1.075
5817.6,1.034
5837.9,1.043
5858.1,1.013
5878.3,1.038
5898.6,1.058
5918.8,1.028
5939.0,1.028
5959.3,0.957
5979.5,1.012
5999.7,1.009
6020.0,1.01
6040.2,1.018
6060.5,1.0
6080.7,0.984
6100.9,1.0
6121.2,1.01
6141.4,1.007
6161.6,0.977
6181.9,0.977
6202.1,0.937
6222.3,0.947
6242.6,0.916
6262.8,0.957
6283.0,0.952
6303.3,0.927
6323.5,0.897
6343.7,0.933
6364.0,0.943
6384.2,0.92
6404.5,0.926
6424.7,0.924
6444.9,0.92
6465.2,0.931
6485.4,0.908
6505.6,0.918
6525.9,0.914
6546.1,0.908
6566.3,0.889
6586.6,0.906
6606.8,0.901
6627.0,1.964
6647.3,3.859
6667.5,1.877
6687.7,0.9
6708.0,0.893
6728.2,0.887
6748.5,0.869
6768.7,0.886
6788.9,0.86
6809.2,0.878
6829.4,0.863
6849.6,0.873
6869.9,0.859
6890.1,0.861
6910.3,0.863
6930.6,0.842
6950.8,0.855
6971.0,0.856
6991.3,0.851
