wavelength(Ang),flux(rel)
3007.3,0.148
3018.1,0.056
3028.9,0.073
3039.7,0.203
3050.5,0.274
3061.3,0.267
3072.1,0.247
3082.9,0.195
3093.7,0.287
3104.5,0.303
3115.3,0.292
3126.1,0.298
3142.2,0.375
3163.8,0.341
3185.4,0.329
3207.0,0.354
3228.6,0.359
3250.2,0.374
3271.8,0.375
3293.4,0.385
3315.0,0.403
3336.6,0.415
3358.2,0.423
3379.8,0.41
3401.4,0.419
3423.0,0.431
3444.6,0.386
3466.2,0.42
3487.8,0.373
3509.4,0.443
3531.0,0.486
3552.6,0.48
3574.2,0.482
3595.8,0.481
3617.4,0.472
3639.0,0.425
3660.6,0.445
3682.2,0.449
3703.7,0.458
3725.3,0.471
3746.9,0.472
3768.5,0.495
3790.1,0.514
3811.7,0.484
3833.3,0.529
3854.9,0.44
3876.5,0.443
3898.1,0.487
3919.7,0.502
3930.5,0.507
3941.3,0.56
3962.9,0.552
3984.5,0.512
4006.1,0.592
4027.7,7.153
4049.3,0.564
4070.9,0.631
4092.5,0.691
4114.1,0.739
4135.7,0.561
4157.3,0.734
4178.9,0.786
4200.5,0.656
4222.1,0.848
4243.7,0.49
4265.2,0.74
4286.8,0.491
4308.4,0.936
4330.0,1.029
4351.6,1.038
4373.2,1.012
4394.8,0.978
4416.4,0.989
4438.0,0.879
4459.6,1.014
4481.2,1.039
4502.8,1.038
4524.4,1.034
4546.0,1.051
4567.6,1.032
4589.2,1.058
4610.8,1.014
4632.4,0.989
4654.0,0.894
4675.6,0.971
4697.2,0.9
4718.8,1.103
4740.4,1.053
4762.0,1.074
4783.6,1.098
4805.2,1.107
4826.8,1.147
4848.3,1.15
4869.9,1.254
4891.5,1.144
4913.1,1.162
4934.7,1.232
4956.3,1.171
4977.9,1.197
4999.5,1.162
5021.1,1.178
5042.7,1.204
5064.3,1.17
5085.9,1.133
5107.5,1.185
5129.1,1.208
5150.7,1.201
5172.3,1.193
5193.9,1.174
5215.5,1.182
5237.1,1.768
5258.7,2.503
5280.3,1.122
5301.9,1.134
5323.5,1.117
5345.1,1.711
5366.7,1.397
5388.3,1.103
5409.8,7.698
5431.4,1.083
5453.0,1.078
5474.6,1.118
5496.2,1.07
5517.8,1.086
5539.4,1.053
5561.0,1.02
5582.6,0.971
5604.2,0.987
5625.8,1.027
5647.4,1.051
5669.0,1.08
5690.6,0.978
5712.2,1.077
5733.8,1.112
5755.4,1.014
5777.0,1.083
5798.6,1.077
5820.2,1.054
5841.8,1.032
5863.4,1.046
5885.0,1.073
5906.6,1.043
5928.2,1.044
5949.8,1.036
5971.3,1.047
5992.9,1.06
6014.5,1.04
6036.1,1.016
6057.7,1.044
6079.3,1.034
6100.9,1.038
6122.5,1.016
6144.1,1.038
6165.7,1.014
6187.3,1.075
6208.9,1.034
6230.5,1.043
6252.1,1.013
6273.7,1.038
6295.3,1.058
6316.9,1.028
6338.5,1.028
6360.1,0.957
6381.7,1.012
6403.3,1.009
6424.9,1.01
6446.5,1.018
6468.1,1.0
6489.7,0.984
6511.3,1.0
6532.9,1.01
6554.4,1.007
6576.0,0.977
6597.6,0.977
6619.2,0.937
6640.8,0.947
6662.4,0.916
6684.0,0.957
6705.6,0.952
6727.2,0.927
6748.8,0.897
6770.4,0.933
6792.0,0.943
6813.6,0.92
6835.2,0.926
6856.8,0.924
6878.4,0.92
6900.0,0.931
6921.6,0.908
6943.2,0.918
6964.8,0.914
6986.4,0.908
