wavelength(Ang),flux(rel)
3001.6,0.203
3012.2,0.274
3022.9,0.267
3033.5,0.247
3044.2,0.195
3054.9,0.287
3065.5,0.303
3076.2,0.292
3086.9,0.298
3102.9,0.375
3124.2,0.341
3145.5,0.329
3166.8,0.354
3188.2,0.359
3209.5,0.374
3230.8,0.375
3252.1,0.385
3273.5,0.403
3294.8,0.415
3316.1,0.423
3337.4,0.41
3358.8,0.419
3380.1,0.431
3401.4,0.386
3422.7,0.42
3444.1,0.373
3465.4,0.443
3486.7,0.486
3508.0,0.48
3529.4,0.482
3550.7,0.481
3572.0,0.472
3593.3,0.425
3614.7,0.445
3636.0,0.449
3657.3,0.458
3678.6,0.471
3700.0,0.472
3721.3,0.495
3742.6,0.514
3763.9,0.484
3785.3,0.529
3806.6,0.44
3827.9,0.443
3849.2,0.487
3870.6,0.502
3881.2,0.507
3891.9,0.56
3913.2,0.552
3934.5,0.512
3955.9,0.592
3977.2,7.153
3998.5,0.564
4019.8,0.631
4041.2,0.691
4062.5,0.739
4083.8,0.561
4105.2,0.734
4126.5,0.786
4147.8,0.656
4169.1,0.848
4190.5,0.49
4211.8,0.74
4233.1,0.491
4254.4,0.936
4275.8,1.029
4297.1,1.038
4318.4,1.012
4339.7,0.978
4361.1,0.989
4382.4,0.879
4403.7,1.014
4425.0,1.039
4446.4,1.038
4467.7,1.034
4489.0,1.051
4510.3,1.032
4531.7,1.058
4553.0,1.014
4574.3,0.989
4595.6,0.894
4617.0,0.971
4638.3,0.9
4659.6,1.103
4680.9,1.053
4702.3,1.074
4723.6,1.098
4744.9,1.107
4766.2,1.147
4787.6,1.15
4808.9,1.254
4830.2,1.144
4851.5,1.162
4872.9,1.232
4894.2,1.171
4915.5,1.197
4936.8,1.162
4958.2,1.178
4979.5,1.204
5000.8,1.17
5022.1,1.133
5043.5,1.185
5064.8,1.208
5086.1,1.201
5107.4,1.193
5128.8,1.174
5150.1,1.182
5171.4,1.768
5192.7,2.503
5214.1,1.122
5235.4,1.134
5256.7,1.117
5278.1,1.711
5299.4,1.397
5320.7,1.103
5342.0,7.698
5363.4,1.083
5384.7,1.078
5406.0,1.118
5427.3,1.07
5448.7,1.086
5470.0,1.053
5491.3,1.02
5512.6,0.971
5534.0,0.987
5555.3,1.027
5576.6,1.051
5597.9,1.08
5619.3,0.978
5640.6,1.077
5661.9,1.112
5683.2,1.014
5704.6,1.083
5725.9,1.077
5747.2,1.054
5768.5,1.032
5789.9,1.046
5811.2,1.073
5832.5,1.043
5853.8,1.044
5875.2,1.036
5896.5,1.047
5917.8,1.06
5939.1,1.04
5960.5,1.016
5981.8,1.044
6003.1,1.034
6024.4,1.038
6045.8,1.016
6067.1,1.038
6088.4,1.014
6109.7,1.075
6131.1,1.034
6152.4,1.043
6173.7,1.013
6195.0,1.038
6216.4,1.058
6237.7,1.028
6259.0,1.028
6280.3,0.957
6301.7,1.012
6323.0,1.009
6344.3,1.01
6365.6,1.018
6387.0,1.0
6408.3,0.984
6429.6,1.0
6451.0,1.01
6472.3,1.007
6493.6,0.977
6514.9,0.977
6536.3,0.937
6557.6,0.947
6578.9,0.916
6600.2,0.957
6621.6,0.952
6642.9,0.927
6664.2,0.897
6685.5,0.933
6706.9,0.943
6728.2,0.92
6749.5,0.926
6770.8,0.924
6792.2,0.92
6813.5,0.931
6834.8,0.908
6856.1,0.918
6877.5,0.914
6898.8,0.908
6920.1,0.889
6941.4,0.906
6962.8,0.901
6984.1,1.964
