Galaxy,Ceph_av_app_magnitude_V,Ceph_period(days)
Andromeda,21.32,4.12
Triangulum,20.81,8.17
LMC,14.37,10.33
Messier32,19.8,17.41
Messier110,21.45,4.23
SMC,13.41,36.05
