wavelength(Ang),flux(rel)
3000.2,0.267
3010.8,0.247
3021.4,0.195
3031.9,0.287
3042.5,0.303
3053.1,0.292
3063.7,0.298
3079.6,0.375
3100.7,0.341
3121.9,0.329
3143.1,0.354
3164.2,0.359
3185.4,0.374
3206.6,0.375
3227.7,0.385
3248.9,0.403
3270.1,0.415
3291.2,0.423
3312.4,0.41
3333.6,0.419
3354.7,0.431
3375.9,0.386
3397.1,0.42
3418.2,0.373
3439.4,0.443
3460.5,0.486
3481.7,0.48
3502.9,0.482
3524.0,0.481
3545.2,0.472
3566.4,0.425
3587.5,0.445
3608.7,0.449
3629.9,0.458
3651.0,0.471
3672.2,0.472
3693.4,0.495
3714.5,0.514
3735.7,0.484
3756.9,0.529
3778.0,0.44
3799.2,0.443
3820.4,0.487
3841.5,0.502
3852.1,0.507
3862.7,0.56
3883.9,0.552
3905.0,0.512
3926.2,0.592
3947.4,7.153
3968.5,0.564
3989.7,0.631
4010.8,0.691
4032.0,0.739
4053.2,0.561
4074.3,0.734
4095.5,0.786
4116.7,0.656
4137.8,0.848
4159.0,0.49
4180.2,0.74
4201.3,0.491
4222.5,0.936
4243.7,1.029
4264.8,1.038
4286.0,1.012
4307.2,0.978
4328.3,0.989
4349.5,0.879
4370.7,1.014
4391.8,1.039
4413.0,1.038
4434.2,1.034
4455.3,1.051
4476.5,1.032
4497.7,1.058
4518.8,1.014
4540.0,0.989
4561.1,0.894
4582.3,0.971
4603.5,0.9
4624.6,1.103
4645.8,1.053
4667.0,1.074
4688.1,1.098
4709.3,1.107
4730.5,1.147
4751.6,1.15
4772.8,1.254
4794.0,1.144
4815.1,1.162
4836.3,1.232
4857.5,1.171
4878.6,1.197
4899.8,1.162
4921.0,1.178
4942.1,1.204
4963.3,1.17
4984.5,1.133
5005.6,1.185
5026.8,1.208
5048.0,1.201
5069.1,1.193
5090.3,1.174
5111.5,1.182
5132.6,1.768
5153.8,2.503
5174.9,1.122
5196.1,1.134
5217.3,1.117
5238.4,1.711
5259.6,1.397
5280.8,1.103
5301.9,7.698
5323.1,1.083
5344.3,1.078
5365.4,1.118
5386.6,1.07
5407.8,1.086
5428.9,1.053
5450.1,1.02
5471.3,0.971
5492.4,0.987
5513.6,1.027
5534.8,1.051
5555.9,1.08
5577.1,0.978
5598.3,1.077
5619.4,1.112
5640.6,1.014
5661.8,1.083
5682.9,1.077
5704.1,1.054
5725.2,1.032
5746.4,1.046
5767.6,1.073
5788.7,1.043
5809.9,1.044
5831.1,1.036
5852.2,1.047
5873.4,1.06
5894.6,1.04
5915.7,1.016
5936.9,1.044
5958.1,1.034
5979.2,1.038
6000.4,1.016
6021.6,1.038
6042.7,1.014
6063.9,1.075
6085.1,1.034
6106.2,1.043
6127.4,1.013
6148.6,1.038
6169.7,1.058
6190.9,1.028
6212.1,1.028
6233.2,0.957
6254.4,1.012
6275.5,1.009
6296.7,1.01
6317.9,1.018
6339.0,1.0
6360.2,0.984
6381.4,1.0
6402.5,1.01
6423.7,1.007
6444.9,0.977
6466.0,0.977
6487.2,0.937
6508.4,0.947
6529.5,0.916
6550.7,0.957
6571.9,0.952
6593.0,0.927
6614.2,0.897
6635.4,0.933
6656.5,0.943
6677.7,0.92
6698.9,0.926
6720.0,0.924
6741.2,0.92
6762.4,0.931
6783.5,0.908
6804.7,0.918
6825.9,0.914
6847.0,0.908
6868.2,0.889
6889.3,0.906
6910.5,0.901
6931.7,1.964
6952.8,3.859
6974.0,1.877
6995.2,0.9
