wavelength(Ang),flux(rel)
3011.7,0.375
3032.4,0.341
3053.1,0.329
3073.8,0.354
3094.5,0.359
3115.2,0.374
3135.9,0.375
3156.6,0.385
3177.3,0.403
3198.0,0.415
3218.7,0.423
3239.4,0.41
3260.1,0.419
3280.8,0.431
3301.5,0.386
3322.2,0.42
3342.9,0.373
3363.6,0.443
3384.3,0.486
3405.0,0.48
3425.7,0.482
3446.4,0.481
3467.1,0.472
3487.8,0.425
3508.5,0.445
3529.2,0.449
3549.9,0.458
3570.6,0.471
3591.3,0.472
3612.0,0.495
3632.7,0.514
3653.4,0.484
3674.1,0.529
3694.8,0.44
3715.5,0.443
3736.2,0.487
3756.9,0.502
3767.3,0.507
3777.6,0.56
3798.3,0.552
3819.0,0.512
3839.7,0.592
3860.4,7.153
3881.1,0.564
3901.8,0.631
3922.5,0.691
3943.2,0.739
3963.9,0.561
3984.6,0.734
4005.3,0.786
4026.0,0.656
4046.7,0.848
4067.4,0.49
4088.1,0.74
4108.8,0.491
4129.5,0.936
4150.2,1.029
4170.9,1.038
4191.6,1.012
4212.3,0.978
4233.0,0.989
4253.7,0.879
4274.4,1.014
4295.1,1.039
4315.8,1.038
4336.5,1.034
4357.2,1.051
4377.9,1.032
4398.6,1.058
4419.3,1.014
4440.0,0.989
4460.7,0.894
4481.4,0.971
4502.1,0.9
4522.8,1.103
4543.5,1.053
4564.2,1.074
4584.9,1.098
4605.6,1.107
4626.3,1.147
4647.0,1.15
4667.7,1.254
4688.4,1.144
4709.1,1.162
4729.8,1.232
4750.5,1.171
4771.2,1.197
4791.9,1.162
4812.6,1.178
4833.3,1.204
4854.0,1.17
4874.7,1.133
4895.4,1.185
4916.1,1.208
4936.8,1.201
4957.5,1.193
4978.2,1.174
4998.9,1.182
5019.6,1.768
5040.3,2.503
5061.0,1.122
5081.7,1.134
5102.4,1.117
5123.1,1.711
5143.8,1.397
5164.5,1.103
5185.2,7.698
5205.9,1.083
5226.6,1.078
5247.3,1.118
5268.0,1.07
5288.7,1.086
5309.4,1.053
5330.1,1.02
5350.8,0.971
5371.5,0.987
5392.2,1.027
5412.9,1.051
5433.6,1.08
5454.3,0.978
5475.0,1.077
5495.7,1.112
5516.4,1.014
5537.1,1.083
5557.8,1.077
5578.5,1.054
5599.2,1.032
5619.9,1.046
5640.6,1.073
5661.3,1.043
5681.9,1.044
5702.6,1.036
5723.3,1.047
5744.0,1.06
5764.7,1.04
5785.4,1.016
5806.1,1.044
5826.8,1.034
5847.5,1.038
5868.2,1.016
5888.9,1.038
5909.6,1.014
5930.3,1.075
5951.0,1.034
5971.7,1.043
5992.4,1.013
6013.1,1.038
6033.8,1.058
6054.5,1.028
6075.2,1.028
6095.9,0.957
6116.6,1.012
6137.3,1.009
6158.0,1.01
6178.7,1.018
6199.4,1.0
6220.1,0.984
6240.8,1.0
6261.5,1.01
6282.2,1.007
6302.9,0.977
6323.6,0.977
6344.3,0.937
6365.0,0.947
6385.7,0.916
6406.4,0.957
6427.1,0.952
6447.8,0.927
6468.5,0.897
6489.2,0.933
6509.9,0.943
6530.6,0.92
6551.3,0.926
6572.0,0.924
6592.7,0.92
6613.4,0.931
6634.1,0.908
6654.8,0.918
6675.5,0.914
6696.2,0.908
6716.9,0.889
6737.6,0.906
6758.3,0.901
6779.0,1.964
6799.7,3.859
6820.4,1.877
6841.1,0.9
6861.8,0.893
6882.5,0.887
6903.2,0.869
6923.9,0.886
6944.6,0.86
6965.3,0.878
6986.0,0.863
