wavelength(Ang),flux(rel)
3004.4,0.274
3015.0,0.267
3025.6,0.247
3036.3,0.195
3046.9,0.287
3057.5,0.303
3068.2,0.292
3078.8,0.298
3094.8,0.375
3116.0,0.341
3137.3,0.329
3158.6,0.354
3179.8,0.359
3201.1,0.374
3222.4,0.375
3243.6,0.385
3264.9,0.403
3286.2,0.415
3307.4,0.423
3328.7,0.41
3350.0,0.419
3371.3,0.431
3392.5,0.386
3413.8,0.42
3435.1,0.373
3456.3,0.443
3477.6,0.486
3498.9,0.48
3520.1,0.482
3541.4,0.481
3562.7,0.472
3584.0,0.425
3605.2,0.445
3626.5,0.449
3647.8,0.458
3669.0,0.471
3690.3,0.472
3711.6,0.495
3732.8,0.514
3754.1,0.484
3775.4,0.529
3796.7,0.44
3817.9,0.443
3839.2,0.487
3860.5,0.502
3871.1,0.507
3881.7,0.56
3903.0,0.552
3924.3,0.512
3945.5,0.592
3966.8,7.153
3988.1,0.564
4009.4,0.631
4030.6,0.691
4051.9,0.739
4073.2,0.561
4094.4,0.734
4115.7,0.786
4137.0,0.656
4158.2,0.848
4179.5,0.49
4200.8,0.74
4222.0,0.491
4243.3,0.936
4264.6,1.029
4285.9,1.038
4307.1,1.012
4328.4,0.978
4349.7,0.989
4370.9,0.879
4392.2,1.014
4413.5,1.039
4434.7,1.038
4456.0,1.034
4477.3,1.051
4498.6,1.032
4519.8,1.058
4541.1,1.014
4562.4,0.989
4583.6,0.894
4604.9,0.971
4626.2,0.9
4647.4,1.103
4668.7,1.053
4690.0,1.074
4711.3,1.098
4732.5,1.107
4753.8,1.147
4775.1,1.15
4796.3,1.254
4817.6,1.144
4838.9,1.162
4860.1,1.232
4881.4,1.171
4902.7,1.197
4924.0,1.162
4945.2,1.178
4966.5,1.204
4987.8,1.17
5009.0,1.133
5030.3,1.185
5051.6,1.208
5072.8,1.201
5094.1,1.193
5115.4,1.174
5136.6,1.182
5157.9,1.768
5179.2,2.503
5200.5,1.122
5221.7,1.134
5243.0,1.117
5264.3,1.711
5285.5,1.397
5306.8,1.103
5328.1,7.698
5349.3,1.083
5370.6,1.078
5391.9,1.118
5413.2,1.07
5434.4,1.086
5455.7,1.053
5477.0,1.02
5498.2,0.971
5519.5,0.987
5540.8,1.027
5562.0,1.051
5583.3,1.08
5604.6,0.978
5625.9,1.077
5647.1,1.112
5668.4,1.014
5689.7,1.083
5710.9,1.077
5732.2,1.054
5753.5,1.032
5774.7,1.046
5796.0,1.073
5817.3,1.043
5838.6,1.044
5859.8,1.036
5881.1,1.047
5902.4,1.06
5923.6,1.04
5944.9,1.016
5966.2,1.044
5987.4,1.034
6008.7,1.038
6030.0,1.016
6051.2,1.038
6072.5,1.014
6093.8,1.075
6115.1,1.034
6136.3,1.043
6157.6,1.013
6178.9,1.038
6200.1,1.058
6221.4,1.028
6242.7,1.028
6263.9,0.957
6285.2,1.012
6306.5,1.009
6327.8,1.01
6349.0,1.018
6370.3,1.0
6391.6,0.984
6412.8,1.0
6434.1,1.01
6455.4,1.007
6476.6,0.977
6497.9,0.977
6519.2,0.937
6540.5,0.947
6561.7,0.916
6583.0,0.957
6604.3,0.952
6625.5,0.927
6646.8,0.897
6668.1,0.933
6689.3,0.943
6710.6,0.92
6731.9,0.926
6753.2,0.924
6774.4,0.92
6795.7,0.931
6817.0,0.908
6838.2,0.918
6859.5,0.914
6880.8,0.908
6902.0,0.889
6923.3,0.906
6944.6,0.901
6965.8,1.964
6987.1,3.859
