wavelength(Ang),flux(rel)
3006.4,0.274
3017.0,0.267
3027.7,0.247
3038.3,0.195
3048.9,0.287
3059.6,0.303
3070.2,0.292
3080.9,0.298
3096.8,0.375
3118.1,0.341
3139.4,0.329
3160.7,0.354
3182.0,0.359
3203.3,0.374
3224.5,0.375
3245.8,0.385
3267.1,0.403
3288.4,0.415
3309.7,0.423
3331.0,0.41
3352.2,0.419
3373.5,0.431
3394.8,0.386
3416.1,0.42
3437.4,0.373
3458.7,0.443
3479.9,0.486
3501.2,0.48
3522.5,0.482
3543.8,0.481
3565.1,0.472
3586.4,0.425
3607.6,0.445
3628.9,0.449
3650.2,0.458
3671.5,0.471
3692.8,0.472
3714.1,0.495
3735.4,0.514
3756.6,0.484
3777.9,0.529
3799.2,0.44
3820.5,0.443
3841.8,0.487
3863.1,0.502
3873.7,0.507
3884.3,0.56
3905.6,0.552
3926.9,0.512
3948.2,0.592
3969.5,7.153
3990.8,0.564
4012.0,0.631
4033.3,0.691
4054.6,0.739
4075.9,0.561
4097.2,0.734
4118.5,0.786
4139.8,0.656
4161.0,0.848
4182.3,0.49
4203.6,0.74
4224.9,0.491
4246.2,0.936
4267.5,1.029
4288.7,1.038
4310.0,1.012
4331.3,0.978
4352.6,0.989
4373.9,0.879
4395.2,1.014
4416.4,1.039
4437.7,1.038
4459.0,1.034
4480.3,1.051
4501.6,1.032
4522.9,1.058
4544.1,1.014
4565.4,0.989
4586.7,0.894
4608.0,0.971
4629.3,0.9
4650.6,1.103
4671.9,1.053
4693.1,1.074
4714.4,1.098
4735.7,1.107
4757.0,1.147
4778.3,1.15
4799.6,1.254
4820.8,1.144
4842.1,1.162
4863.4,1.232
4884.7,1.171
4906.0,1.197
4927.3,1.162
4948.5,1.178
4969.8,1.204
4991.1,1.17
5012.4,1.133
5033.7,1.185
5055.0,1.208
5076.2,1.201
5097.5,1.193
5118.8,1.174
5140.1,1.182
5161.4,1.768
5182.7,2.503
5204.0,1.122
5225.2,1.134
5246.5,1.117
5267.8,1.711
5289.1,1.397
5310.4,1.103
5331.7,7.698
5352.9,1.083
5374.2,1.078
5395.5,1.118
5416.8,1.07
5438.1,1.086
5459.4,1.053
5480.6,1.02
5501.9,0.971
5523.2,0.987
5544.5,1.027
5565.8,1.051
5587.1,1.08
5608.4,0.978
5629.6,1.077
5650.9,1.112
5672.2,1.014
5693.5,1.083
5714.8,1.077
5736.1,1.054
5757.3,1.032
5778.6,1.046
5799.9,1.073
5821.2,1.043
5842.5,1.044
5863.8,1.036
5885.0,1.047
5906.3,1.06
5927.6,1.04
5948.9,1.016
5970.2,1.044
5991.5,1.034
6012.7,1.038
6034.0,1.016
6055.3,1.038
6076.6,1.014
6097.9,1.075
6119.2,1.034
6140.5,1.043
6161.7,1.013
6183.0,1.038
6204.3,1.058
6225.6,1.028
6246.9,1.028
6268.2,0.957
6289.4,1.012
6310.7,1.009
6332.0,1.01
6353.3,1.018
6374.6,1.0
6395.9,0.984
6417.1,1.0
6438.4,1.01
6459.7,1.007
6481.0,0.977
6502.3,0.977
6523.6,0.937
6544.9,0.947
6566.1,0.916
6587.4,0.957
6608.7,0.952
6630.0,0.927
6651.3,0.897
6672.6,0.933
6693.8,0.943
6715.1,0.92
6736.4,0.926
6757.7,0.924
6779.0,0.92
6800.3,0.931
6821.5,0.908
6842.8,0.918
6864.1,0.914
6885.4,0.908
6906.7,0.889
6928.0,0.906
6949.2,0.901
6970.5,1.964
6991.8,3.859
