wavelength(Ang),flux(rel)
3001.0,0.073
3011.7,0.203
3022.4,0.274
3033.1,0.267
3043.8,0.247
3054.5,0.195
3065.2,0.287
3075.9,0.303
3086.6,0.292
3097.3,0.298
3113.4,0.375
3134.8,0.341
3156.2,0.329
3177.6,0.354
3199.0,0.359
3220.4,0.374
3241.8,0.375
3263.2,0.385
3284.6,0.403
3306.0,0.415
3327.4,0.423
3348.8,0.41
3370.2,0.419
3391.6,0.431
3413.0,0.386
3434.4,0.42
3455.8,0.373
3477.2,0.443
3498.5,0.486
3519.9,0.48
3541.3,0.482
3562.7,0.481
3584.1,0.472
3605.5,0.425
3626.9,0.445
3648.3,0.449
3669.7,0.458
3691.1,0.471
3712.5,0.472
3733.9,0.495
3755.3,0.514
3776.7,0.484
3798.1,0.529
3819.5,0.44
3840.9,0.443
3862.3,0.487
3883.7,0.502
3894.4,0.507
3905.1,0.56
3926.5,0.552
3947.9,0.512
3969.3,0.592
3990.7,7.153
4012.1,0.564
4033.5,0.631
4054.9,0.691
4076.3,0.739
4097.7,0.561
4119.1,0.734
4140.5,0.786
4161.9,0.656
4183.3,0.848
4204.7,0.49
4226.1,0.74
4247.5,0.491
4268.9,0.936
4290.3,1.029
4311.7,1.038
4333.1,1.012
4354.5,0.978
4375.9,0.989
4397.3,0.879
4418.7,1.014
4440.1,1.039
4461.5,1.038
4482.8,1.034
4504.2,1.051
4525.6,1.032
4547.0,1.058
4568.4,1.014
4589.8,0.989
4611.2,0.894
4632.6,0.971
4654.0,0.9
4675.4,1.103
4696.8,1.053
4718.2,1.074
4739.6,1.098
4761.0,1.107
4782.4,1.147
4803.8,1.15
4825.2,1.254
4846.6,1.144
4868.0,1.162
4889.4,1.232
4910.8,1.171
4932.2,1.197
4953.6,1.162
4975.0,1.178
4996.4,1.204
5017.8,1.17
5039.2,1.133
5060.6,1.185
5082.0,1.208
5103.4,1.201
5124.8,1.193
5146.2,1.174
5167.6,1.182
5189.0,1.768
5210.4,2.503
5231.8,1.122
5253.2,1.134
5274.6,1.117
5296.0,1.711
5317.4,1.397
5338.8,1.103
5360.2,7.698
5381.6,1.083
5403.0,1.078
5424.4,1.118
5445.8,1.07
5467.2,1.086
5488.5,1.053
5509.9,1.02
5531.3,0.971
5552.7,0.987
5574.1,1.027
5595.5,1.051
5616.9,1.08
5638.3,0.978
5659.7,1.077
5681.1,1.112
5702.5,1.014
5723.9,1.083
5745.3,1.077
5766.7,1.054
5788.1,1.032
5809.5,1.046
5830.9,1.073
5852.3,1.043
5873.7,1.044
5895.1,1.036
5916.5,1.047
5937.9,1.06
5959.3,1.04
5980.7,1.016
6002.1,1.044
6023.5,1.034
6044.9,1.038
6066.3,1.016
6087.7,1.038
6109.1,1.014
6130.5,1.075
6151.9,1.034
6173.3,1.043
6194.7,1.013
6216.1,1.038
6237.5,1.058
6258.9,1.028
6280.3,1.028
6301.7,0.957
6323.1,1.012
6344.5,1.009
6365.9,1.01
6387.3,1.018
6408.7,1.0
6430.1,0.984
6451.5,1.0
6472.8,1.01
6494.2,1.007
6515.6,0.977
6537.0,0.977
6558.4,0.937
6579.8,0.947
6601.2,0.916
6622.6,0.957
6644.0,0.952
6665.4,0.927
6686.8,0.897
6708.2,0.933
6729.6,0.943
6751.0,0.92
6772.4,0.926
6793.8,0.924
6815.2,0.92
6836.6,0.931
6858.0,0.908
6879.4,0.918
6900.8,0.914
6922.2,0.908
6943.6,0.889
6965.0,0.906
6986.4,0.901
