wavelength(Ang),flux(rel)
3005.1,0.247
3015.6,0.195
3026.2,0.287
3036.7,0.303
3047.3,0.292
3057.9,0.298
3073.7,0.375
3094.8,0.341
3116.0,0.329
3137.1,0.354
3158.2,0.359
3179.3,0.374
3200.5,0.375
3221.6,0.385
3242.7,0.403
3263.8,0.415
3285.0,0.423
3306.1,0.41
3327.2,0.419
3348.3,0.431
3369.5,0.386
3390.6,0.42
3411.7,0.373
3432.8,0.443
3454.0,0.486
3475.1,0.48
3496.2,0.482
3517.3,0.481
3538.5,0.472
3559.6,0.425
3580.7,0.445
3601.8,0.449
3623.0,0.458
3644.1,0.471
3665.2,0.472
3686.3,0.495
3707.5,0.514
3728.6,0.484
3749.7,0.529
3770.8,0.44
3792.0,0.443
3813.1,0.487
3834.2,0.502
3844.8,0.507
3855.3,0.56
3876.5,0.552
3897.6,0.512
3918.7,0.592
3939.8,7.153
3961.0,0.564
3982.1,0.631
4003.2,0.691
4024.3,0.739
4045.5,0.561
4066.6,0.734
4087.7,0.786
4108.8,0.656
4130.0,0.848
4151.1,0.49
4172.2,0.74
4193.3,0.491
4214.5,0.936
4235.6,1.029
4256.7,1.038
4277.8,1.012
4299.0,0.978
4320.1,0.989
4341.2,0.879
4362.3,1.014
4383.5,1.039
4404.6,1.038
4425.7,1.034
4446.8,1.051
4468.0,1.032
4489.1,1.058
4510.2,1.014
4531.3,0.989
4552.5,0.894
4573.6,0.971
4594.7,0.9
4615.8,1.103
4637.0,1.053
4658.1,1.074
4679.2,1.098
4700.3,1.107
4721.5,1.147
4742.6,1.15
4763.7,1.254
4784.8,1.144
4806.0,1.162
4827.1,1.232
4848.2,1.171
4869.3,1.197
4890.5,1.162
4911.6,1.178
4932.7,1.204
4953.9,1.17
4975.0,1.133
4996.1,1.185
5017.2,1.208
5038.4,1.201
5059.5,1.193
5080.6,1.174
5101.7,1.182
5122.9,1.768
5144.0,2.503
5165.1,1.122
5186.2,1.134
5207.4,1.117
5228.5,1.711
5249.6,1.397
5270.7,1.103
5291.9,7.698
5313.0,1.083
5334.1,1.078
5355.2,1.118
5376.4,1.07
5397.5,1.086
5418.6,1.053
5439.7,1.02
5460.9,0.971
5482.0,0.987
5503.1,1.027
5524.2,1.051
5545.4,1.08
5566.5,0.978
5587.6,1.077
5608.7,1.112
5629.9,1.014
5651.0,1.083
5672.1,1.077
5693.2,1.054
5714.4,1.032
5735.5,1.046
5756.6,1.073
5777.7,1.043
5798.9,1.044
5820.0,1.036
5841.1,1.047
5862.2,1.06
5883.4,1.04
5904.5,1.016
5925.6,1.044
5946.7,1.034
5967.9,1.038
5989.0,1.016
6010.1,1.038
6031.2,1.014
6052.4,1.075
6073.5,1.034
6094.6,1.043
6115.7,1.013
6136.9,1.038
6158.0,1.058
6179.1,1.028
6200.2,1.028
6221.4,0.957
6242.5,1.012
6263.6,1.009
6284.7,1.01
6305.9,1.018
6327.0,1.0
6348.1,0.984
6369.2,1.0
6390.4,1.01
6411.5,1.007
6432.6,0.977
6453.7,0.977
6474.9,0.937
6496.0,0.947
6517.1,0.916
6538.2,0.957
6559.4,0.952
6580.5,0.927
6601.6,0.897
6622.7,0.933
6643.9,0.943
6665.0,0.92
6686.1,0.926
6707.2,0.924
6728.4,0.92
6749.5,0.931
6770.6,0.908
6791.7,0.918
6812.9,0.914
6834.0,0.908
6855.1,0.889
6876.2,0.906
6897.4,0.901
6918.5,1.964
6939.6,3.859
6960.7,1.877
6981.9,0.9
