wavelength(Ang),flux(rel)
3005.8,0.375
3026.5,0.341
3047.1,0.329
3067.8,0.354
3088.4,0.359
3109.1,0.374
3129.8,0.375
3150.4,0.385
3171.1,0.403
3191.7,0.415
3212.4,0.423
3233.0,0.41
3253.7,0.419
3274.4,0.431
3295.0,0.386
3315.7,0.42
3336.3,0.373
3357.0,0.443
3377.7,0.486
3398.3,0.48
3419.0,0.482
3439.6,0.481
3460.3,0.472
3481.0,0.425
3501.6,0.445
3522.3,0.449
3542.9,0.458
3563.6,0.471
3584.2,0.472
3604.9,0.495
3625.6,0.514
3646.2,0.484
3666.9,0.529
3687.5,0.44
3708.2,0.443
3728.9,0.487
3749.5,0.502
3759.8,0.507
3770.2,0.56
3790.8,0.552
3811.5,0.512
3832.1,0.592
3852.8,7.153
3873.5,0.564
3894.1,0.631
3914.8,0.691
3935.4,0.739
3956.1,0.561
3976.8,0.734
3997.4,0.786
4018.1,0.656
4038.7,0.848
4059.4,0.49
4080.0,0.74
4100.7,0.491
4121.4,0.936
4142.0,1.029
4162.7,1.038
4183.3,1.012
4204.0,0.978
4224.7,0.989
4245.3,0.879
4266.0,1.014
4286.6,1.039
4307.3,1.038
4327.9,1.034
4348.6,1.051
4369.3,1.032
4389.9,1.058
4410.6,1.014
4431.2,0.989
4451.9,0.894
4472.6,0.971
4493.2,0.9
4513.9,1.103
4534.5,1.053
4555.2,1.074
4575.9,1.098
4596.5,1.107
4617.2,1.147
4637.8,1.15
4658.5,1.254
4679.1,1.144
4699.8,1.162
4720.5,1.232
4741.1,1.171
4761.8,1.197
4782.4,1.162
4803.1,1.178
4823.8,1.204
4844.4,1.17
4865.1,1.133
4885.7,1.185
4906.4,1.208
4927.0,1.201
4947.7,1.193
4968.4,1.174
4989.0,1.182
5009.7,1.768
5030.3,2.503
5051.0,1.122
5071.7,1.134
5092.3,1.117
5113.0,1.711
5133.6,1.397
5154.3,1.103
5174.9,7.698
5195.6,1.083
5216.3,1.078
5236.9,1.118
5257.6,1.07
5278.2,1.086
5298.9,1.053
5319.6,1.02
5340.2,0.971
5360.9,0.987
5381.5,1.027
5402.2,1.051
5422.8,1.08
5443.5,0.978
5464.2,1.077
5484.8,1.112
5505.5,1.014
5526.1,1.083
5546.8,1.077
5567.5,1.054
5588.1,1.032
5608.8,1.046
5629.4,1.073
5650.1,1.043
5670.7,1.044
5691.4,1.036
5712.1,1.047
5732.7,1.06
5753.4,1.04
5774.0,1.016
5794.7,1.044
5815.4,1.034
5836.0,1.038
5856.7,1.016
5877.3,1.038
5898.0,1.014
5918.7,1.075
5939.3,1.034
5960.0,1.043
5980.6,1.013
6001.3,1.038
6021.9,1.058
6042.6,1.028
6063.3,1.028
6083.9,0.957
6104.6,1.012
6125.2,1.009
6145.9,1.01
6166.6,1.018
6187.2,1.0
6207.9,0.984
6228.5,1.0
6249.2,1.01
6269.8,1.007
6290.5,0.977
6311.2,0.977
6331.8,0.937
6352.5,0.947
6373.1,0.916
6393.8,0.957
6414.5,0.952
6435.1,0.927
6455.8,0.897
6476.4,0.933
6497.1,0.943
6517.7,0.92
6538.4,0.926
6559.1,0.924
6579.7,0.92
6600.4,0.931
6621.0,0.908
6641.7,0.918
6662.4,0.914
6683.0,0.908
6703.7,0.889
6724.3,0.906
6745.0,0.901
6765.6,1.964
6786.3,3.859
6807.0,1.877
6827.6,0.9
6848.3,0.893
6868.9,0.887
6889.6,0.869
6910.3,0.886
6930.9,0.86
6951.6,0.878
6972.2,0.863
6992.9,0.873
