wavelength(Ang),flux(rel)
3001.9,0.354
3022.2,0.359
3042.4,0.374
3062.6,0.375
3082.8,0.385
3103.0,0.403
3123.2,0.415
3143.5,0.423
3163.7,0.41
3183.9,0.419
3204.1,0.431
3224.3,0.386
3244.5,0.42
3264.7,0.373
3285.0,0.443
3305.2,0.486
3325.4,0.48
3345.6,0.482
3365.8,0.481
3386.0,0.472
3406.2,0.425
3426.5,0.445
3446.7,0.449
3466.9,0.458
3487.1,0.471
3507.3,0.472
3527.5,0.495
3547.8,0.514
3568.0,0.484
3588.2,0.529
3608.4,0.44
3628.6,0.443
3648.8,0.487
3669.0,0.502
3679.2,0.507
3689.3,0.56
3709.5,0.552
3729.7,0.512
3749.9,0.592
3770.1,7.153
3790.3,0.564
3810.6,0.631
3830.8,0.691
3851.0,0.739
3871.2,0.561
3891.4,0.734
3911.6,0.786
3931.8,0.656
3952.1,0.848
3972.3,0.49
3992.5,0.74
4012.7,0.491
4032.9,0.936
4053.1,1.029
4073.3,1.038
4093.6,1.012
4113.8,0.978
4134.0,0.989
4154.2,0.879
4174.4,1.014
4194.6,1.039
4214.9,1.038
4235.1,1.034
4255.3,1.051
4275.5,1.032
4295.7,1.058
4315.9,1.014
4336.1,0.989
4356.4,0.894
4376.6,0.971
4396.8,0.9
4417.0,1.103
4437.2,1.053
4457.4,1.074
4477.6,1.098
4497.9,1.107
4518.1,1.147
4538.3,1.15
4558.5,1.254
4578.7,1.144
4598.9,1.162
4619.2,1.232
4639.4,1.171
4659.6,1.197
4679.8,1.162
4700.0,1.178
4720.2,1.204
4740.4,1.17
4760.7,1.133
4780.9,1.185
4801.1,1.208
4821.3,1.201
4841.5,1.193
4861.7,1.174
4882.0,1.182
4902.2,1.768
4922.4,2.503
4942.6,1.122
4962.8,1.134
4983.0,1.117
5003.2,1.711
5023.5,1.397
5043.7,1.103
5063.9,7.698
5084.1,1.083
5104.3,1.078
5124.5,1.118
5144.7,1.07
5165.0,1.086
5185.2,1.053
5205.4,1.02
5225.6,0.971
5245.8,0.987
5266.0,1.027
5286.3,1.051
5306.5,1.08
5326.7,0.978
5346.9,1.077
5367.1,1.112
5387.3,1.014
5407.5,1.083
5427.8,1.077
5448.0,1.054
5468.2,1.032
5488.4,1.046
5508.6,1.073
5528.8,1.043
5549.1,1.044
5569.3,1.036
5589.5,1.047
5609.7,1.06
5629.9,1.04
5650.1,1.016
5670.3,1.044
5690.6,1.034
5710.8,1.038
5731.0,1.016
5751.2,1.038
5771.4,1.014
5791.6,1.075
5811.8,1.034
5832.1,1.043
5852.3,1.013
5872.5,1.038
5892.7,1.058
5912.9,1.028
5933.1,1.028
5953.4,0.957
5973.6,1.012
5993.8,1.009
6014.0,1.01
6034.2,1.018
6054.4,1.0
6074.6,0.984
6094.9,1.0
6115.1,1.01
6135.3,1.007
6155.5,0.977
6175.7,0.977
6195.9,0.937
6216.2,0.947
6236.4,0.916
6256.6,0.957
6276.8,0.952
6297.0,0.927
6317.2,0.897
6337.4,0.933
6357.7,0.943
6377.9,0.92
6398.1,0.926
6418.3,0.924
6438.5,0.92
6458.7,0.931
6478.9,0.908
6499.2,0.918
6519.4,0.914
6539.6,0.908
6559.8,0.889
6580.0,0.906
6600.2,0.901
6620.5,1.964
6640.7,3.859
6660.9,1.877
6681.1,0.9
6701.3,0.893
6721.5,0.887
6741.7,0.869
6762.0,0.886
6782.2,0.86
6802.4,0.878
6822.6,0.863
6842.8,0.873
6863.0,0.859
6883.2,0.861
6903.5,0.863
6923.7,0.842
6943.9,0.855
6964.1,0.856
6984.3,0.851
