wavelength(Ang),flux(rel)
3004.9,0.329
3025.3,0.354
3045.7,0.359
3066.1,0.374
3086.4,0.375
3106.8,0.385
3127.2,0.403
3147.5,0.415
3167.9,0.423
3188.3,0.41
3208.7,0.419
3229.0,0.431
3249.4,0.386
3269.8,0.42
3290.2,0.373
3310.5,0.443
3330.9,0.486
3351.3,0.48
3371.6,0.482
3392.0,0.481
3412.4,0.472
3432.8,0.425
3453.1,0.445
3473.5,0.449
3493.9,0.458
3514.2,0.471
3534.6,0.472
3555.0,0.495
3575.4,0.514
3595.7,0.484
3616.1,0.529
3636.5,0.44
3656.9,0.443
3677.2,0.487
3697.6,0.502
3707.8,0.507
3718.0,0.56
3738.3,0.552
3758.7,0.512
3779.1,0.592
3799.5,7.153
3819.8,0.564
3840.2,0.631
3860.6,0.691
3881.0,0.739
3901.3,0.561
3921.7,0.734
3942.1,0.786
3962.4,0.656
3982.8,0.848
4003.2,0.49
4023.6,0.74
4043.9,0.491
4064.3,0.936
4084.7,1.029
4105.1,1.038
4125.4,1.012
4145.8,0.978
4166.2,0.989
4186.5,0.879
4206.9,1.014
4227.3,1.039
4247.7,1.038
4268.0,1.034
4288.4,1.051
4308.8,1.032
4329.1,1.058
4349.5,1.014
4369.9,0.989
4390.3,0.894
4410.6,0.971
4431.0,0.9
4451.4,1.103
4471.8,1.053
4492.1,1.074
4512.5,1.098
4532.9,1.107
4553.2,1.147
4573.6,1.15
4594.0,1.254
4614.4,1.144
4634.7,1.162
4655.1,1.232
4675.5,1.171
4695.9,1.197
4716.2,1.162
4736.6,1.178
4757.0,1.204
4777.3,1.17
4797.7,1.133
4818.1,1.185
4838.5,1.208
4858.8,1.201
4879.2,1.193
4899.6,1.174
4919.9,1.182
4940.3,1.768
4960.7,2.503
4981.1,1.122
5001.4,1.134
5021.8,1.117
5042.2,1.711
5062.6,1.397
5082.9,1.103
5103.3,7.698
5123.7,1.083
5144.0,1.078
5164.4,1.118
5184.8,1.07
5205.2,1.086
5225.5,1.053
5245.9,1.02
5266.3,0.971
5286.7,0.987
5307.0,1.027
5327.4,1.051
5347.8,1.08
5368.1,0.978
5388.5,1.077
5408.9,1.112
5429.3,1.014
5449.6,1.083
5470.0,1.077
5490.4,1.054
5510.8,1.032
5531.1,1.046
5551.5,1.073
5571.9,1.043
5592.2,1.044
5612.6,1.036
5633.0,1.047
5653.4,1.06
5673.7,1.04
5694.1,1.016
5714.5,1.044
5734.8,1.034
5755.2,1.038
5775.6,1.016
5796.0,1.038
5816.3,1.014
5836.7,1.075
5857.1,1.034
5877.5,1.043
5897.8,1.013
5918.2,1.038
5938.6,1.058
5958.9,1.028
5979.3,1.028
5999.7,0.957
6020.1,1.012
6040.4,1.009
6060.8,1.01
6081.2,1.018
6101.6,1.0
6121.9,0.984
6142.3,1.0
6162.7,1.01
6183.0,1.007
6203.4,0.977
6223.8,0.977
6244.2,0.937
6264.5,0.947
6284.9,0.916
6305.3,0.957
6325.6,0.952
6346.0,0.927
6366.4,0.897
6386.8,0.933
6407.1,0.943
6427.5,0.92
6447.9,0.926
6468.3,0.924
6488.6,0.92
6509.0,0.931
6529.4,0.908
6549.7,0.918
6570.1,0.914
6590.5,0.908
6610.9,0.889
6631.2,0.906
6651.6,0.901
6672.0,1.964
6692.4,3.859
6712.7,1.877
6733.1,0.9
6753.5,0.893
6773.8,0.887
6794.2,0.869
6814.6,0.886
6835.0,0.86
6855.3,0.878
6875.7,0.863
6896.1,0.873
6916.4,0.859
6936.8,0.861
6957.2,0.863
6977.6,0.842
6997.9,0.855
