wavelength(Ang),flux(rel)
3002.1,0.292
3012.5,0.298
3028.1,0.375
3048.9,0.341
3069.7,0.329
3090.6,0.354
3111.4,0.359
3132.2,0.374
3153.0,0.375
3173.8,0.385
3194.6,0.403
3215.4,0.415
3236.2,0.423
3257.1,0.41
3277.9,0.419
3298.7,0.431
3319.5,0.386
3340.3,0.42
3361.1,0.373
3381.9,0.443
3402.7,0.486
3423.5,0.48
3444.4,0.482
3465.2,0.481
3486.0,0.472
3506.8,0.425
3527.6,0.445
3548.4,0.449
3569.2,0.458
3590.0,0.471
3610.9,0.472
3631.7,0.495
3652.5,0.514
3673.3,0.484
3694.1,0.529
3714.9,0.44
3735.7,0.443
3756.5,0.487
3777.3,0.502
3787.8,0.507
3798.2,0.56
3819.0,0.552
3839.8,0.512
3860.6,0.592
3881.4,7.153
3902.2,0.564
3923.0,0.631
3943.8,0.691
3964.7,0.739
3985.5,0.561
4006.3,0.734
4027.1,0.786
4047.9,0.656
4068.7,0.848
4089.5,0.49
4110.3,0.74
4131.2,0.491
4152.0,0.936
4172.8,1.029
4193.6,1.038
4214.4,1.012
4235.2,0.978
4256.0,0.989
4276.8,0.879
4297.6,1.014
4318.5,1.039
4339.3,1.038
4360.1,1.034
4380.9,1.051
4401.7,1.032
4422.5,1.058
4443.3,1.014
4464.1,0.989
4485.0,0.894
4505.8,0.971
4526.6,0.9
4547.4,1.103
4568.2,1.053
4589.0,1.074
4609.8,1.098
4630.6,1.107
4651.4,1.147
4672.3,1.15
4693.1,1.254
4713.9,1.144
4734.7,1.162
4755.5,1.232
4776.3,1.171
4797.1,1.197
4817.9,1.162
4838.8,1.178
4859.6,1.204
4880.4,1.17
4901.2,1.133
4922.0,1.185
4942.8,1.208
4963.6,1.201
4984.4,1.193
5005.2,1.174
5026.1,1.182
5046.9,1.768
5067.7,2.503
5088.5,1.122
5109.3,1.134
5130.1,1.117
5150.9,1.711
5171.7,1.397
5192.6,1.103
5213.4,7.698
5234.2,1.083
5255.0,1.078
5275.8,1.118
5296.6,1.07
5317.4,1.086
5338.2,1.053
5359.0,1.02
5379.9,0.971
5400.7,0.987
5421.5,1.027
5442.3,1.051
5463.1,1.08
5483.9,0.978
5504.7,1.077
5525.5,1.112
5546.4,1.014
5567.2,1.083
5588.0,1.077
5608.8,1.054
5629.6,1.032
5650.4,1.046
5671.2,1.073
5692.0,1.043
5712.9,1.044
5733.7,1.036
5754.5,1.047
5775.3,1.06
5796.1,1.04
5816.9,1.016
5837.7,1.044
5858.5,1.034
5879.3,1.038
5900.2,1.016
5921.0,1.038
5941.8,1.014
5962.6,1.075
5983.4,1.034
6004.2,1.043
6025.0,1.013
6045.8,1.038
6066.7,1.058
6087.5,1.028
6108.3,1.028
6129.1,0.957
6149.9,1.012
6170.7,1.009
6191.5,1.01
6212.3,1.018
6233.1,1.0
6254.0,0.984
6274.8,1.0
6295.6,1.01
6316.4,1.007
6337.2,0.977
6358.0,0.977
6378.8,0.937
6399.6,0.947
6420.5,0.916
6441.3,0.957
6462.1,0.952
6482.9,0.927
6503.7,0.897
6524.5,0.933
6545.3,0.943
6566.1,0.92
6586.9,0.926
6607.8,0.924
6628.6,0.92
6649.4,0.931
6670.2,0.908
6691.0,0.918
6711.8,0.914
6732.6,0.908
6753.4,0.889
6774.3,0.906
6795.1,0.901
6815.9,1.964
6836.7,3.859
6857.5,1.877
6878.3,0.9
6899.1,0.893
6919.9,0.887
6940.7,0.869
6961.6,0.886
6982.4,0.86
