wavelength(Ang),flux(rel)
3011.1,0.341
3031.7,0.329
3052.2,0.354
3072.8,0.359
3093.3,0.374
3113.9,0.375
3134.5,0.385
3155.0,0.403
3175.6,0.415
3196.1,0.423
3216.7,0.41
3237.2,0.419
3257.8,0.431
3278.3,0.386
3298.9,0.42
3319.4,0.373
3340.0,0.443
3360.5,0.486
3381.1,0.48
3401.7,0.482
3422.2,0.481
3442.8,0.472
3463.3,0.425
3483.9,0.445
3504.4,0.449
3525.0,0.458
3545.5,0.471
3566.1,0.472
3586.6,0.495
3607.2,0.514
3627.7,0.484
3648.3,0.529
3668.9,0.44
3689.4,0.443
3710.0,0.487
3730.5,0.502
3740.8,0.507
3751.1,0.56
3771.6,0.552
3792.2,0.512
3812.7,0.592
3833.3,7.153
3853.8,0.564
3874.4,0.631
3894.9,0.691
3915.5,0.739
3936.1,0.561
3956.6,0.734
3977.2,0.786
3997.7,0.656
4018.3,0.848
4038.8,0.49
4059.4,0.74
4079.9,0.491
4100.5,0.936
4121.0,1.029
4141.6,1.038
4162.1,1.012
4182.7,0.978
4203.3,0.989
4223.8,0.879
4244.4,1.014
4264.9,1.039
4285.5,1.038
4306.0,1.034
4326.6,1.051
4347.1,1.032
4367.7,1.058
4388.2,1.014
4408.8,0.989
4429.3,0.894
4449.9,0.971
4470.5,0.9
4491.0,1.103
4511.6,1.053
4532.1,1.074
4552.7,1.098
4573.2,1.107
4593.8,1.147
4614.3,1.15
4634.9,1.254
4655.4,1.144
4676.0,1.162
4696.5,1.232
4717.1,1.171
4737.7,1.197
4758.2,1.162
4778.8,1.178
4799.3,1.204
4819.9,1.17
4840.4,1.133
4861.0,1.185
4881.5,1.208
4902.1,1.201
4922.6,1.193
4943.2,1.174
4963.7,1.182
4984.3,1.768
5004.9,2.503
5025.4,1.122
5046.0,1.134
5066.5,1.117
5087.1,1.711
5107.6,1.397
5128.2,1.103
5148.7,7.698
5169.3,1.083
5189.8,1.078
5210.4,1.118
5230.9,1.07
5251.5,1.086
5272.1,1.053
5292.6,1.02
5313.2,0.971
5333.7,0.987
5354.3,1.027
5374.8,1.051
5395.4,1.08
5415.9,0.978
5436.5,1.077
5457.0,1.112
5477.6,1.014
5498.1,1.083
5518.7,1.077
5539.3,1.054
5559.8,1.032
5580.4,1.046
5600.9,1.073
5621.5,1.043
5642.0,1.044
5662.6,1.036
5683.1,1.047
5703.7,1.06
5724.2,1.04
5744.8,1.016
5765.3,1.044
5785.9,1.034
5806.4,1.038
5827.0,1.016
5847.6,1.038
5868.1,1.014
5888.7,1.075
5909.2,1.034
5929.8,1.043
5950.3,1.013
5970.9,1.038
5991.4,1.058
6012.0,1.028
6032.5,1.028
6053.1,0.957
6073.6,1.012
6094.2,1.009
6114.8,1.01
6135.3,1.018
6155.9,1.0
6176.4,0.984
6197.0,1.0
6217.5,1.01
6238.1,1.007
6258.6,0.977
6279.2,0.977
6299.7,0.937
6320.3,0.947
6340.8,0.916
6361.4,0.957
6382.0,0.952
6402.5,0.927
6423.1,0.897
6443.6,0.933
6464.2,0.943
6484.7,0.92
6505.3,0.926
6525.8,0.924
6546.4,0.92
6566.9,0.931
6587.5,0.908
6608.0,0.918
6628.6,0.914
6649.2,0.908
6669.7,0.889
6690.3,0.906
6710.8,0.901
6731.4,1.964
6751.9,3.859
6772.5,1.877
6793.0,0.9
6813.6,0.893
6834.1,0.887
6854.7,0.869
6875.2,0.886
6895.8,0.86
6916.4,0.878
6936.9,0.863
6957.5,0.873
6978.0,0.859
6998.6,0.861
