wavelength(Ang),flux(rel)
3008.1,0.341
3028.6,0.329
3049.1,0.354
3069.7,0.359
3090.2,0.374
3110.7,0.375
3131.3,0.385
3151.8,0.403
3172.3,0.415
3192.9,0.423
3213.4,0.41
3233.9,0.419
3254.5,0.431
3275.0,0.386
3295.5,0.42
3316.0,0.373
3336.6,0.443
3357.1,0.486
3377.6,0.48
3398.2,0.482
3418.7,0.481
3439.2,0.472
3459.8,0.425
3480.3,0.445
3500.8,0.449
3521.4,0.458
3541.9,0.471
3562.4,0.472
3583.0,0.495
3603.5,0.514
3624.0,0.484
3644.6,0.529
3665.1,0.44
3685.6,0.443
3706.2,0.487
3726.7,0.502
3737.0,0.507
3747.2,0.56
3767.8,0.552
3788.3,0.512
3808.8,0.592
3829.4,7.153
3849.9,0.564
3870.4,0.631
3891.0,0.691
3911.5,0.739
3932.0,0.561
3952.6,0.734
3973.1,0.786
3993.6,0.656
4014.2,0.848
4034.7,0.49
4055.2,0.74
4075.8,0.491
4096.3,0.936
4116.8,1.029
4137.4,1.038
4157.9,1.012
4178.4,0.978
4199.0,0.989
4219.5,0.879
4240.0,1.014
4260.6,1.039
4281.1,1.038
4301.6,1.034
4322.2,1.051
4342.7,1.032
4363.2,1.058
4383.8,1.014
4404.3,0.989
4424.8,0.894
4445.4,0.971
4465.9,0.9
4486.4,1.103
4507.0,1.053
4527.5,1.074
4548.0,1.098
4568.6,1.107
4589.1,1.147
4609.6,1.15
4630.1,1.254
4650.7,1.144
4671.2,1.162
4691.7,1.232
4712.3,1.171
4732.8,1.197
4753.3,1.162
4773.9,1.178
4794.4,1.204
4814.9,1.17
4835.5,1.133
4856.0,1.185
4876.5,1.208
4897.1,1.201
4917.6,1.193
4938.1,1.174
4958.7,1.182
4979.2,1.768
4999.7,2.503
5020.3,1.122
5040.8,1.134
5061.3,1.117
5081.9,1.711
5102.4,1.397
5122.9,1.103
5143.5,7.698
5164.0,1.083
5184.5,1.078
5205.1,1.118
5225.6,1.07
5246.1,1.086
5266.7,1.053
5287.2,1.02
5307.7,0.971
5328.3,0.987
5348.8,1.027
5369.3,1.051
5389.9,1.08
5410.4,0.978
5430.9,1.077
5451.5,1.112
5472.0,1.014
5492.5,1.083
5513.1,1.077
5533.6,1.054
5554.1,1.032
5574.7,1.046
5595.2,1.073
5615.7,1.043
5636.3,1.044
5656.8,1.036
5677.3,1.047
5697.9,1.06
5718.4,1.04
5738.9,1.016
5759.5,1.044
5780.0,1.034
5800.5,1.038
5821.1,1.016
5841.6,1.038
5862.1,1.014
5882.7,1.075
5903.2,1.034
5923.7,1.043
5944.3,1.013
5964.8,1.038
5985.3,1.058
6005.8,1.028
6026.4,1.028
6046.9,0.957
6067.4,1.012
6088.0,1.009
6108.5,1.01
6129.0,1.018
6149.6,1.0
6170.1,0.984
6190.6,1.0
6211.2,1.01
6231.7,1.007
6252.2,0.977
6272.8,0.977
6293.3,0.937
6313.8,0.947
6334.4,0.916
6354.9,0.957
6375.4,0.952
6396.0,0.927
6416.5,0.897
6437.0,0.933
6457.6,0.943
6478.1,0.92
6498.6,0.926
6519.2,0.924
6539.7,0.92
6560.2,0.931
6580.8,0.908
6601.3,0.918
6621.8,0.914
6642.4,0.908
6662.9,0.889
6683.4,0.906
6704.0,0.901
6724.5,1.964
6745.0,3.859
6765.6,1.877
6786.1,0.9
6806.6,0.893
6827.2,0.887
6847.7,0.869
6868.2,0.886
6888.8,0.86
6909.3,0.878
6929.8,0.863
6950.4,0.873
6970.9,0.859
6991.4,0.861
