wavelength(Ang),flux(rel)
3004.8,0.216
3015.6,0.148
3026.4,0.056
3037.2,0.073
3048.1,0.203
3058.9,0.274
3069.7,0.267
3080.5,0.247
3091.4,0.195
3102.2,0.287
3113.0,0.303
3123.9,0.292
3134.7,0.298
3150.9,0.375
3172.6,0.341
3194.2,0.329
3215.9,0.354
3237.6,0.359
3259.2,0.374
3280.9,0.375
3302.5,0.385
3324.2,0.403
3345.8,0.415
3367.5,0.423
3389.1,0.41
3410.8,0.419
3432.5,0.431
3454.1,0.386
3475.8,0.42
3497.4,0.373
3519.1,0.443
3540.7,0.486
3562.4,0.48
3584.0,0.482
3605.7,0.481
3627.4,0.472
3649.0,0.425
3670.7,0.445
3692.3,0.449
3714.0,0.458
3735.6,0.471
3757.3,0.472
3779.0,0.495
3800.6,0.514
3822.3,0.484
3843.9,0.529
3865.6,0.44
3887.2,0.443
3908.9,0.487
3930.5,0.502
3941.4,0.507
3952.2,0.56
3973.9,0.552
3995.5,0.512
4017.2,0.592
4038.8,7.153
4060.5,0.564
4082.1,0.631
4103.8,0.691
4125.4,0.739
4147.1,0.561
4168.8,0.734
4190.4,0.786
4212.1,0.656
4233.7,0.848
4255.4,0.49
4277.0,0.74
4298.7,0.491
4320.3,0.936
4342.0,1.029
4363.7,1.038
4385.3,1.012
4407.0,0.978
4428.6,0.989
4450.3,0.879
4471.9,1.014
4493.6,1.039
4515.3,1.038
4536.9,1.034
4558.6,1.051
4580.2,1.032
4601.9,1.058
4623.5,1.014
4645.2,0.989
4666.8,0.894
4688.5,0.971
4710.2,0.9
4731.8,1.103
4753.5,1.053
4775.1,1.074
4796.8,1.098
4818.4,1.107
4840.1,1.147
4861.7,1.15
4883.4,1.254
4905.1,1.144
4926.7,1.162
4948.4,1.232
4970.0,1.171
4991.7,1.197
5013.3,1.162
5035.0,1.178
5056.6,1.204
5078.3,1.17
5100.0,1.133
5121.6,1.185
5143.3,1.208
5164.9,1.201
5186.6,1.193
5208.2,1.174
5229.9,1.182
5251.6,1.768
5273.2,2.503
5294.9,1.122
5316.5,1.134
5338.2,1.117
5359.8,1.711
5381.5,1.397
5403.1,1.103
5424.8,7.698
5446.5,1.083
5468.1,1.078
5489.8,1.118
5511.4,1.07
5533.1,1.086
5554.7,1.053
5576.4,1.02
5598.0,0.971
5619.7,0.987
5641.4,1.027
5663.0,1.051
5684.7,1.08
5706.3,0.978
5728.0,1.077
5749.6,1.112
5771.3,1.014
5792.9,1.083
5814.6,1.077
5836.3,1.054
5857.9,1.032
5879.6,1.046
5901.2,1.073
5922.9,1.043
5944.5,1.044
5966.2,1.036
5987.9,1.047
6009.5,1.06
6031.2,1.04
6052.8,1.016
6074.5,1.044
6096.1,1.034
6117.8,1.038
6139.4,1.016
6161.1,1.038
6182.8,1.014
6204.4,1.075
6226.1,1.034
6247.7,1.043
6269.4,1.013
6291.0,1.038
6312.7,1.058
6334.3,1.028
6356.0,1.028
6377.7,0.957
6399.3,1.012
6421.0,1.009
6442.6,1.01
6464.3,1.018
6485.9,1.0
6507.6,0.984
6529.2,1.0
6550.9,1.01
6572.6,1.007
6594.2,0.977
6615.9,0.977
6637.5,0.937
6659.2,0.947
6680.8,0.916
6702.5,0.957
6724.2,0.952
6745.8,0.927
6767.5,0.897
6789.1,0.933
6810.8,0.943
6832.4,0.92
6854.1,0.926
6875.7,0.924
6897.4,0.92
6919.1,0.931
6940.7,0.908
6962.4,0.918
6984.0,0.914
