wavelength(Ang),flux(rel)
3011.6,0.354
3031.9,0.359
3052.2,0.374
3072.4,0.375
3092.7,0.385
3113.0,0.403
3133.3,0.415
3153.6,0.423
3173.8,0.41
3194.1,0.419
3214.4,0.431
3234.7,0.386
3255.0,0.42
3275.2,0.373
3295.5,0.443
3315.8,0.486
3336.1,0.48
3356.4,0.482
3376.6,0.481
3396.9,0.472
3417.2,0.425
3437.5,0.445
3457.8,0.449
3478.0,0.458
3498.3,0.471
3518.6,0.472
3538.9,0.495
3559.2,0.514
3579.4,0.484
3599.7,0.529
3620.0,0.44
3640.3,0.443
3660.6,0.487
3680.8,0.502
3691.0,0.507
3701.1,0.56
3721.4,0.552
3741.7,0.512
3762.0,0.592
3782.2,7.153
3802.5,0.564
3822.8,0.631
3843.1,0.691
3863.4,0.739
3883.6,0.561
3903.9,0.734
3924.2,0.786
3944.5,0.656
3964.8,0.848
3985.0,0.49
4005.3,0.74
4025.6,0.491
4045.9,0.936
4066.2,1.029
4086.4,1.038
4106.7,1.012
4127.0,0.978
4147.3,0.989
4167.6,0.879
4187.8,1.014
4208.1,1.039
4228.4,1.038
4248.7,1.034
4269.0,1.051
4289.2,1.032
4309.5,1.058
4329.8,1.014
4350.1,0.989
4370.4,0.894
4390.6,0.971
4410.9,0.9
4431.2,1.103
4451.5,1.053
4471.8,1.074
4492.0,1.098
4512.3,1.107
4532.6,1.147
4552.9,1.15
4573.2,1.254
4593.4,1.144
4613.7,1.162
4634.0,1.232
4654.3,1.171
4674.6,1.197
4694.8,1.162
4715.1,1.178
4735.4,1.204
4755.7,1.17
4776.0,1.133
4796.2,1.185
4816.5,1.208
4836.8,1.201
4857.1,1.193
4877.4,1.174
4897.6,1.182
4917.9,1.768
4938.2,2.503
4958.5,1.122
4978.8,1.134
4999.1,1.117
5019.3,1.711
5039.6,1.397
5059.9,1.103
5080.2,7.698
5100.5,1.083
5120.7,1.078
5141.0,1.118
5161.3,1.07
5181.6,1.086
5201.9,1.053
5222.1,1.02
5242.4,0.971
5262.7,0.987
5283.0,1.027
5303.3,1.051
5323.5,1.08
5343.8,0.978
5364.1,1.077
5384.4,1.112
5404.7,1.014
5424.9,1.083
5445.2,1.077
5465.5,1.054
5485.8,1.032
5506.1,1.046
5526.3,1.073
5546.6,1.043
5566.9,1.044
5587.2,1.036
5607.5,1.047
5627.7,1.06
5648.0,1.04
5668.3,1.016
5688.6,1.044
5708.9,1.034
5729.1,1.038
5749.4,1.016
5769.7,1.038
5790.0,1.014
5810.3,1.075
5830.5,1.034
5850.8,1.043
5871.1,1.013
5891.4,1.038
5911.7,1.058
5931.9,1.028
5952.2,1.028
5972.5,0.957
5992.8,1.012
6013.1,1.009
6033.3,1.01
6053.6,1.018
6073.9,1.0
6094.2,0.984
6114.5,1.0
6134.7,1.01
6155.0,1.007
6175.3,0.977
6195.6,0.977
6215.9,0.937
6236.1,0.947
6256.4,0.916
6276.7,0.957
6297.0,0.952
6317.3,0.927
6337.5,0.897
6357.8,0.933
6378.1,0.943
6398.4,0.92
6418.7,0.926
6438.9,0.924
6459.2,0.92
6479.5,0.931
6499.8,0.908
6520.1,0.918
6540.3,0.914
6560.6,0.908
6580.9,0.889
6601.2,0.906
6621.5,0.901
6641.7,1.964
6662.0,3.859
6682.3,1.877
6702.6,0.9
6722.9,0.893
6743.1,0.887
6763.4,0.869
6783.7,0.886
6804.0,0.86
6824.3,0.878
6844.5,0.863
6864.8,0.873
6885.1,0.859
6905.4,0.861
6925.7,0.863
6945.9,0.842
6966.2,0.855
6986.5,0.856
